/model.1/conv/Conv,/model.16/cv1/conv/Conv,/model.16/cv2/conv/Conv,/model.17/conv/Conv,/model.2/cv2/conv/Conv,/model.20/conv/Conv,/model.23/cv2.0/cv2.0.0/conv/Conv,/model.3/conv/Conv,/model.4/cv2/conv/Conv,/model.5/conv/Conv,/model.6/cv2/conv/Conv,/model.7/conv/Conv,output0
1,0,1,0,0,1,0,1,1,0,0,0,0.004354842472821474
1,0,0,0,0,0,1,1,0,0,1,1,0.004299769178032875
0,0,1,1,0,1,1,1,0,1,0,0,0.0008619612781330943
0,0,1,0,0,1,1,0,1,1,1,1,0.0010763898026198149
0,0,1,1,0,0,1,1,0,0,0,0,0.0008337374893017113
1,1,1,1,1,1,1,1,1,0,0,0,0.004348163027316332
1,0,0,0,1,1,0,0,0,1,0,1,0.0042784009128808975
0,0,0,0,0,0,1,1,0,0,1,0,0.0011296363081783056
0,1,1,0,0,0,1,0,0,0,0,0,0.0008431208552792668
1,0,0,0,1,0,1,0,0,0,1,0,0.004287548828870058
0,1,0,1,1,1,0,1,1,1,1,0,0.0012317802757024765
1,0,1,1,1,0,1,0,0,1,1,0,0.004335310775786638
0,0,1,1,0,1,1,0,1,1,1,0,0.0010419073514640331
0,0,1,1,1,1,1,1,1,0,1,1,0.001261662459000945
1,0,1,1,1,0,0,1,0,1,0,1,0.004311679396778345
1,1,0,1,0,1,1,0,0,1,0,1,0.0043221162632107735
0,0,1,0,0,0,1,0,0,0,1,0,0.001023365999571979
0,0,1,1,1,1,1,1,0,1,1,1,0.0012685830006375909
1,1,1,1,0,1,1,0,1,1,1,1,0.004323406610637903
1,0,0,0,1,0,0,0,0,0,1,0,0.004313928075134754
1,1,0,1,1,1,1,1,0,0,0,0,0.004326886497437954
0,1,1,0,0,0,1,1,0,0,0,0,0.0010233678622171283
1,1,1,1,0,0,0,0,0,1,0,1,0.004336544778198004
0,1,0,1,0,1,0,0,0,1,0,1,0.0007254662923514843
0,1,0,1,0,1,1,1,1,1,0,0,0.0011942853452637792
1,0,1,1,1,1,0,1,1,1,1,0,0.0043587274849414825
0,1,1,1,1,0,0,0,0,1,0,0,0.0009071765234693885
1,0,0,1,0,1,1,1,0,1,1,0,0.004357300698757172
1,0,1,0,0,0,1,0,0,1,1,1,0.004305557813495398
1,1,0,0,1,0,0,0,1,1,1,0,0.004348384216427803
0,1,0,1,0,0,0,1,0,1,0,0,0.0008740817429497838
1,0,0,0,0,0,0,0,0,1,0,0,0.004319407511502504
0,1,0,1,0,0,0,1,1,1,0,1,0.001066582859493792
0,0,0,0,1,0,1,1,1,0,0,0,0.0009543509222567081
0,0,0,0,1,0,1,0,0,1,0,0,0.0007200421532616019
0,0,1,1,1,0,0,1,0,1,1,1,0.0011714784195646644
1,1,1,0,1,0,1,0,0,0,0,0,0.004288283176720142
0,0,1,1,1,0,1,0,1,0,1,0,0.0011400275398045778
1,0,0,1,1,0,0,0,0,0,1,1,0.004322062712162733
1,0,0,1,1,1,1,0,0,1,0,1,0.004283240996301174
1,0,1,1,1,0,1,0,1,0,0,1,0.004297278821468353
1,1,1,0,0,0,1,0,0,1,0,0,0.00431880634278059
1,0,1,0,1,0,0,1,1,1,0,0,0.00432630768045783
1,1,1,1,0,1,0,0,0,1,0,0,0.004350199364125729
0,1,1,1,1,1,1,1,0,1,0,1,0.0011574632953852415
0,1,0,1,1,1,1,1,1,0,0,1,0.001271790941245854
0,1,1,1,1,1,1,0,1,0,1,0,0.0012613175204023719
1,1,0,1,0,1,0,0,1,0,0,0,0.004370060749351978
0,0,1,1,1,1,1,1,1,0,0,1,0.0010530801955610514
0,1,0,0,0,0,0,0,0,1,0,1,0.0006556471344083548
1,1,1,1,0,1,0,1,1,0,1,1,0.004378550685942173
1,1,1,0,1,1,0,0,0,0,1,1,0.004302262328565121
0,0,1,1,0,1,0,1,0,0,1,1,0.0011413909960538149
1,0,0,1,1,0,0,1,1,1,1,1,0.004337816499173641
1,0,0,1,0,1,1,0,0,1,0,0,0.004320887383073568
1,0,0,1,0,1,1,1,1,1,0,1,0.004324420355260372
1,0,0,1,0,0,1,1,0,1,1,1,0.0043386435136199
0,1,1,1,0,0,0,1,0,0,0,0,0.0009008675697259605
1,0,0,1,0,1,0,0,0,0,1,1,0.004342326428741217
