/model.1/conv/Conv,/model.16/cv1/conv/Conv,/model.16/cv2/conv/Conv,/model.17/conv/Conv,/model.2/cv2/conv/Conv,/model.20/conv/Conv,/model.23/cv2.0/cv2.0.0/conv/Conv,/model.3/conv/Conv,/model.4/cv2/conv/Conv,/model.5/conv/Conv,/model.6/cv2/conv/Conv,/model.7/conv/Conv,output0
1,1,1,0,1,0,1,0,0,0,0,0,333.38299560546875
0,0,1,1,1,0,1,0,1,0,1,0,122.17036437988281
1,0,0,1,1,0,0,0,0,0,1,1,335.4512023925781
1,0,0,1,1,1,1,0,0,1,0,1,333.5160827636719
1,0,1,1,1,0,1,0,1,0,0,1,333.8962097167969
1,1,1,0,0,0,1,0,0,1,0,0,334.47052001953125
1,0,1,0,1,0,0,1,1,1,0,0,333.80364990234375
1,1,1,1,0,1,0,0,0,1,0,0,334.7103576660156
0,1,1,1,1,1,1,1,0,1,0,1,107.5647964477539
0,1,0,1,1,1,1,1,1,0,0,1,123.72529602050781
0,1,1,1,1,1,1,0,1,0,1,0,136.09487915039062
1,1,0,1,0,1,0,0,1,0,0,0,334.9742431640625
0,0,1,1,1,1,1,1,1,0,0,1,90.91322326660156
0,1,0,0,0,0,0,0,0,1,0,1,76.12733459472656
1,1,1,1,0,1,0,1,1,0,1,1,335.5752258300781
1,1,1,0,1,1,0,0,0,0,1,1,334.946533203125
0,0,1,1,0,1,0,1,0,0,1,1,135.7989959716797
1,0,0,1,1,0,0,1,1,1,1,1,335.3102722167969
1,0,0,1,0,1,1,0,0,1,0,0,334.6503601074219
1,0,0,1,0,1,1,1,1,1,0,1,334.0348815917969
1,0,0,1,0,0,1,1,0,1,1,1,335.5770263671875
0,1,1,1,0,0,0,1,0,0,0,0,90.11158752441406
1,0,0,1,0,1,0,0,0,0,1,1,335.7171630859375
0,1,1,1,1,1,0,0,0,1,0,1,95.76148986816406
1,1,1,1,0,0,1,1,1,0,1,1,335.620849609375
1,0,0,1,0,1,0,1,1,0,0,1,334.6915283203125
0,1,0,0,0,0,0,0,1,1,0,1,94.96617126464844
0,0,0,0,0,0,0,1,0,0,0,1,66.59102630615234
1,1,0,1,1,0,0,0,1,0,0,1,333.7895812988281
1,1,1,0,0,0,1,0,0,0,0,0,334.81500244140625
1,0,0,1,0,0,0,1,0,0,0,1,333.7099304199219
1,1,0,1,1,1,1,0,1,0,1,0,336.3551025390625
0,0,1,1,0,0,1,1,1,1,1,0,127.45284271240234
1,1,1,1,1,0,1,0,0,1,0,0,333.95660400390625
0,1,0,1,0,1,0,0,1,1,1,1,125.01921081542969
0,1,0,1,0,0,0,1,1,0,0,0,104.48289489746094
0,1,1,1,0,1,1,1,0,0,0,0,88.392578125
1,0,0,0,0,0,0,0,0,0,0,1,333.49969482421875
1,1,0,1,0,0,0,1,1,0,1,0,337.2841796875
1,0,0,0,0,0,0,0,1,0,0,1,333.9156494140625
1,0,1,0,0,1,1,0,1,0,0,1,333.93206787109375
1,1,0,1,0,1,1,1,1,0,1,0,336.80352783203125
1,1,1,0,1,0,1,0,0,0,1,0,335.6470031738281
1,1,0,0,1,0,0,1,1,0,0,1,333.47467041015625
0,0,1,1,0,0,1,1,0,1,0,1,75.21626281738281
0,1,0,1,0,0,1,0,0,0,0,1,92.66619873046875
1,1,1,0,1,1,1,1,0,1,1,0,335.15924072265625
1,1,0,0,0,1,1,1,1,1,1,0,336.66571044921875
1,1,0,0,0,1,1,1,1,1,1,1,335.8071594238281
0,1,0,1,1,1,1,0,1,0,0,0,108.44853210449219
1,1,1,0,0,0,0,0,0,1,0,0,334.47052001953125
0,1,1,0,1,1,0,1,0,1,1,1,138.3697509765625
0,0,1,1,0,1,1,1,1,0,0,1,83.4144515991211
0,0,1,0,1,0,1,1,1,0,0,0,90.94357299804688
0,0,0,0,1,1,0,0,0,1,0,0,62.38179397583008
1,0,1,1,0,1,1,1,1,1,0,1,334.31646728515625
0,1,0,1,0,0,1,1,1,0,1,1,133.44369506835938
0,1,0,0,1,0,0,0,0,1,0,1,92.74374389648438
0,1,1,1,0,0,1,1,1,1,1,0,130.75442504882812
1,0,0,1,0,1,0,0,0,1,0,1,333.78021240234375
0,1,0,0,1,0,1,0,1,0,1,0,138.79547119140625
1,1,0,1,1,0,0,0,0,0,1,1,335.2544860839844
0,0,1,1,1,1,0,1,0,1,0,1,83.81938934326172
0,0,0,1,1,0,1,1,1,0,0,1,92.67665100097656
0,0,0,0,1,0,1,0,0,0,0,1,64.99409484863281
0,0,1,0,0,1,0,0,0,0,0,0,29.57757568359375
1,1,1,1,1,0,1,1,1,1,0,0,334.60028076171875
1,0,1,0,1,1,0,1,0,1,0,1,332.5769348144531
0,1,1,1,1,1,1,0,0,0,0,0,101.39766693115234
0,1,0,0,1,0,1,1,0,0,0,0,101.368896484375
1,1,0,0,0,0,1,0,0,1,1,1,335.11285400390625
1,1,0,1,0,0,1,1,0,0,1,0,336.7973327636719
1,0,0,0,0,0,1,1,1,1,1,1,335.62939453125
1,0,1,1,0,1,0,0,1,1,0,1,333.59088134765625
1,0,0,1,1,1,0,1,0,1,0,1,333.15625
0,1,1,0,1,0,0,0,1,1,0,1,112.50311279296875
0,0,0,1,1,1,0,0,1,1,0,0,76.1609878540039
1,0,0,1,0,0,0,1,1,1,0,0,335.6699523925781
0,1,0,1,1,1,0,0,0,1,1,1,138.96205139160156
0,1,1,0,1,1,0,1,1,1,0,0,115.59977722167969
1,1,0,0,0,1,0,1,1,1,0,0,334.80523681640625
0,1,0,0,1,1,1,1,1,0,1,1,143.64950561523438
0,1,0,1,0,1,1,0,0,0,0,0,90.1890640258789
0,1,1,1,0,0,0,0,1,1,1,0,126.8108139038086
1,0,0,0,1,0,1,1,1,0,0,0,333.8924865722656
