/model.1/conv/Conv,/model.16/cv1/conv/Conv,/model.16/cv2/conv/Conv,/model.17/conv/Conv,/model.2/cv2/conv/Conv,/model.20/conv/Conv,/model.23/cv2.0/cv2.0.0/conv/Conv,/model.3/conv/Conv,/model.4/cv2/conv/Conv,/model.5/conv/Conv,/model.6/cv2/conv/Conv,/model.7/conv/Conv,output0
1,0,1,0,0,0,1,0,0,1,1,1,229163.203125
1,1,0,0,1,0,0,0,1,1,1,0,226110.25
0,1,0,1,0,0,0,1,0,1,0,0,53491.4140625
1,0,0,0,0,0,0,0,0,1,0,0,216491.125
0,1,0,1,0,0,0,1,1,1,0,1,66011.0625
0,0,0,0,1,0,1,1,1,0,0,0,69855.1328125
0,0,0,0,1,0,1,0,0,1,0,0,55373.0234375
0,0,1,1,1,0,0,1,0,1,1,1,75379.328125
1,1,1,0,1,0,1,0,0,0,0,0,228138.953125
0,0,1,1,1,0,1,0,1,0,1,0,78885.6796875
1,0,0,1,1,0,0,0,0,0,1,1,221696.828125
1,0,0,1,1,1,1,0,0,1,0,1,223830.796875
1,0,1,1,1,0,1,0,1,0,0,1,227238.328125
1,1,1,0,0,0,1,0,0,1,0,0,228358.578125
1,0,1,0,1,0,0,1,1,1,0,0,223204.046875
1,1,1,1,0,1,0,0,0,1,0,0,224105.703125
0,1,1,1,1,1,1,1,0,1,0,1,84598.671875
0,1,0,1,1,1,1,1,1,0,0,1,90996.578125
0,1,1,1,1,1,1,0,1,0,1,0,89243.0
1,1,0,1,0,1,0,0,1,0,0,0,222664.0
0,0,1,1,1,1,1,1,1,0,0,1,76958.046875
0,1,0,0,0,0,0,0,0,1,0,1,41327.93359375
1,1,1,1,0,1,0,1,1,0,1,1,229756.296875
1,1,1,0,1,1,0,0,0,0,1,1,226802.875
0,0,1,1,0,1,0,1,0,0,1,1,72480.515625
1,0,0,1,1,0,0,1,1,1,1,1,222766.875
1,0,0,1,0,1,1,0,0,1,0,0,223335.34375
1,0,0,1,0,1,1,1,1,1,0,1,225550.828125
1,0,0,1,0,0,1,1,0,1,1,1,228921.15625
0,1,1,1,0,0,0,1,0,0,0,0,62688.1484375
1,0,0,1,0,1,0,0,0,0,1,1,221722.625
0,1,1,1,1,1,0,0,0,1,0,1,65517.46875
1,1,1,1,0,0,1,1,1,0,1,1,234539.15625
1,0,0,1,0,1,0,1,1,0,0,1,218840.203125
0,1,0,0,0,0,0,0,1,1,0,1,54304.0
0,0,0,0,0,0,0,1,0,0,0,1,35829.07421875
1,1,0,1,1,0,0,0,1,0,0,1,222814.703125
1,1,1,0,0,0,1,0,0,0,0,0,227998.171875
1,0,0,1,0,0,0,1,0,0,0,1,217573.953125
1,1,0,1,1,1,1,0,1,0,1,0,232183.921875
0,0,1,1,0,0,1,1,1,1,1,0,81817.484375
1,1,1,1,1,0,1,0,0,1,0,0,229505.453125
0,1,0,1,0,1,0,0,1,1,1,1,63269.51953125
0,1,0,1,0,0,0,1,1,0,0,0,62858.54296875
0,1,1,1,0,1,1,1,0,0,0,0,75844.5234375
1,0,0,0,0,0,0,0,0,0,0,1,215857.828125
1,1,0,1,0,0,0,1,1,0,1,0,227683.96875
1,0,0,0,0,0,0,0,1,0,0,1,216667.953125
1,0,1,0,0,1,1,0,1,0,0,1,225445.203125
1,1,0,1,0,1,1,1,1,0,1,0,233542.53125
1,1,1,0,1,0,1,0,0,0,1,0,231346.75
1,1,0,0,1,0,0,1,1,0,0,1,222305.53125
0,0,1,1,0,0,1,1,0,1,0,1,67496.9921875
0,1,0,1,0,0,1,0,0,0,0,1,65688.8671875
1,1,1,0,1,1,1,1,0,1,1,0,233131.75
1,1,0,0,0,1,1,1,1,1,1,0,231994.125
1,1,0,0,0,1,1,1,1,1,1,1,231629.78125
0,1,0,1,1,1,1,0,1,0,0,0,83643.8984375
1,1,1,0,0,0,0,0,0,1,0,0,223517.59375
0,1,1,0,1,1,0,1,0,1,1,1,82325.3828125
0,0,1,1,0,1,1,1,1,0,0,1,72316.7109375
0,0,1,0,1,0,1,1,1,0,0,0,74850.453125
0,0,0,0,1,1,0,0,0,1,0,0,30309.28125
1,0,1,1,0,1,1,1,1,1,0,1,228068.578125
0,1,0,1,0,0,1,1,1,0,1,1,91120.9296875
0,1,0,0,1,0,0,0,0,1,0,1,52192.9765625
0,1,1,1,0,0,1,1,1,1,1,0,91098.9140625
1,0,0,1,0,1,0,0,0,1,0,1,217181.328125
0,1,0,0,1,0,1,0,1,0,1,0,85409.1484375
1,1,0,1,1,0,0,0,0,0,1,1,224633.421875
0,0,1,1,1,1,0,1,0,1,0,1,59213.20703125
0,0,0,1,1,0,1,1,1,0,0,1,73836.4375
0,0,0,0,1,0,1,0,0,0,0,1,57473.01171875
0,0,1,0,0,1,0,0,0,0,0,0,31062.087890625
1,1,1,1,1,0,1,1,1,1,0,0,232669.703125
1,0,1,0,1,1,0,1,0,1,0,1,222011.296875
0,1,1,1,1,1,1,0,0,0,0,0,73929.171875
0,1,0,0,1,0,1,1,0,0,0,0,77457.109375
1,1,0,0,0,0,1,0,0,1,1,1,229348.53125
1,1,0,1,0,0,1,1,0,0,1,0,231567.625
1,0,0,0,0,0,1,1,1,1,1,1,227714.90625
1,0,1,1,0,1,0,0,1,1,0,1,221255.90625
1,0,0,1,1,1,0,1,0,1,0,1,218230.625
0,1,1,0,1,0,0,0,1,1,0,1,75776.03125
0,0,0,1,1,1,0,0,1,1,0,0,43536.94140625
1,0,0,1,0,0,0,1,1,1,0,0,219338.171875
0,1,0,1,1,1,0,0,0,1,1,1,67924.453125
0,1,1,0,1,1,0,1,1,1,0,0,80233.359375
1,1,0,0,0,1,0,1,1,1,0,0,222820.5
0,1,0,0,1,1,1,1,1,0,1,1,93436.203125
0,1,0,1,0,1,1,0,0,0,0,0,63431.36328125
0,1,1,1,0,0,0,0,1,1,1,0,70442.5234375
1,0,0,0,1,0,1,1,1,0,0,0,224950.046875
1,0,0,1,0,0,0,0,1,0,1,1,221708.46875
0,1,1,1,0,1,1,0,0,0,1,1,80872.671875
1,0,1,0,0,0,1,0,1,0,1,0,229232.078125
1,1,0,0,1,0,0,1,0,1,1,0,224788.5
1,0,0,0,0,0,0,1,1,1,0,1,217802.90625
0,1,0,1,0,0,1,0,0,1,1,1,78724.484375
0,0,0,1,0,1,0,0,0,1,1,0,48492.3671875
0,1,1,0,1,0,1,1,1,1,0,1,93672.015625
0,0,0,0,0,0,1,0,1,0,0,1,54518.4609375
1,1,1,0,1,1,1,1,1,0,0,0,231701.078125
1,0,0,0,1,1,1,0,1,1,0,0,224251.03125
0,1,1,1,0,0,1,1,1,1,0,0,87034.796875
0,0,1,1,1,1,0,0,0,0,1,0,65237.76953125
0,1,0,0,0,0,1,1,1,0,0,0,81699.2890625
0,1,0,1,0,0,1,0,0,1,1,0,76720.9140625
0,0,1,0,0,1,0,0,0,0,1,0,58177.75
1,0,0,1,1,0,0,1,1,0,0,0,219430.21875
1,0,0,0,0,1,1,1,0,1,1,0,228215.328125
0,1,0,1,0,0,0,0,1,1,1,1,63193.73046875
0,0,1,0,1,1,1,1,1,0,1,0,84708.515625
1,0,1,0,1,1,1,0,0,1,0,1,226176.21875
0,0,1,0,1,0,0,0,1,0,1,1,69062.46875
0,1,1,0,1,1,0,1,1,0,0,0,78511.890625
1,1,1,0,0,1,1,1,0,0,1,0,232790.65625
