/model.1/conv/Conv,/model.13/cv1/conv/Conv,/model.16/cv1/conv/Conv,/model.16/cv2/conv/Conv,/model.17/conv/Conv,/model.2/cv2/conv/Conv,/model.20/conv/Conv,/model.23/cv2.0/cv2.0.0/conv/Conv,/model.3/conv/Conv,/model.4/cv2/conv/Conv,/model.5/conv/Conv,/model.7/conv/Conv,output0
1,0,1,0,0,1,0,1,1,0,0,0,30.130111694335938
1,0,0,0,0,0,1,1,0,0,1,1,30.27383804321289
0,0,1,1,0,1,1,1,0,1,0,0,35.177101135253906
0,0,1,0,0,1,1,0,1,1,1,1,40.78934860229492
0,0,1,1,0,0,1,1,0,0,0,0,35.838470458984375
1,1,1,1,1,1,1,1,1,0,0,0,29.119665145874023
1,0,0,0,1,1,0,0,0,1,0,1,31.198984146118164
0,0,0,0,0,0,1,1,0,0,1,0,39.87781524658203
0,1,1,0,0,0,1,0,0,0,0,0,43.29308319091797
1,0,0,0,1,0,1,0,0,0,1,0,31.265155792236328
0,1,0,1,1,1,0,1,1,1,1,0,34.685752868652344
1,0,1,1,1,0,1,0,0,1,1,0,30.460790634155273
0,0,1,1,0,1,1,0,1,1,1,0,38.82604217529297
0,0,1,1,1,1,1,1,1,0,1,1,34.54869079589844
1,0,1,1,1,0,0,1,0,1,0,1,29.29538345336914
1,1,0,1,0,1,1,0,0,1,0,1,30.36379623413086
0,0,1,0,0,0,1,0,0,0,1,0,44.15947341918945
0,0,1,1,1,1,1,1,0,1,1,1,34.77712631225586
1,1,1,1,0,1,1,0,1,1,1,1,30.084741592407227
1,0,0,0,1,0,0,0,0,0,1,0,31.273595809936523
1,1,0,1,1,1,1,1,0,0,0,0,29.229228973388672
0,1,1,0,0,0,1,1,0,0,0,0,38.833213806152344
1,1,1,1,0,0,0,0,0,1,0,1,30.430221557617188
0,1,0,1,0,1,0,0,0,1,0,1,39.52698516845703
0,1,0,1,0,1,1,1,1,1,0,0,34.962303161621094
1,0,1,1,1,1,0,1,1,1,1,0,29.084585189819336
0,1,1,1,1,0,0,0,0,1,0,0,40.04765701293945
1,0,0,1,0,1,1,1,0,1,1,0,29.124298095703125
1,0,1,0,0,0,1,0,0,1,1,1,31.007816314697266
1,1,0,0,1,0,0,0,1,1,1,0,30.805278778076172
0,1,0,1,0,0,0,1,0,1,0,0,35.7115478515625
1,0,0,0,0,0,0,0,0,1,0,0,31.52523422241211
0,1,0,1,0,0,0,1,1,1,0,1,35.1644287109375
0,0,0,0,1,0,1,1,1,0,0,0,39.648406982421875
0,0,0,0,1,0,1,0,0,1,0,0,50.860862731933594
0,0,1,1,1,0,0,1,0,1,1,1,35.244049072265625
1,1,1,0,1,0,1,0,0,0,0,0,31.114843368530273
0,0,1,1,1,0,1,0,1,0,1,0,39.480064392089844
1,0,0,1,1,0,0,0,0,0,1,1,30.491390228271484
1,0,0,1,1,1,1,0,0,1,0,1,30.44234275817871
1,0,1,1,1,0,1,0,1,0,0,1,30.396804809570312
1,1,1,0,0,0,1,0,0,1,0,0,31.121374130249023
