block_0,block_1,block_2,block_3,block_4,block_5,block_6,block_7,block_8,block_9,block_10,block_11,map50,map50_95,map75
0,1,1,1,0,0,1,1,0,0,1,0,0.40110399007795833,0.33069228137102147,0.37255012881211524
0,1,0,1,0,1,1,0,1,1,0,0,0.408092319335059,0.333899965346865,0.37452634586372424
1,1,0,0,0,1,0,0,0,1,0,1,0.40662607102676634,0.3387892005710404,0.37783703965257676
1,0,0,0,0,0,1,1,0,1,1,1,0.4165436825986305,0.34376293838015975,0.37165227074193
0,1,1,0,1,0,0,1,1,0,0,0,0.40050483208195276,0.3275173756758839,0.3643378877095553
1,1,0,1,1,0,1,0,1,1,0,0,0.39873657971360815,0.33246664043033547,0.3705371721068085
1,0,1,1,0,0,1,1,1,0,0,1,0.4087826233820444,0.3395974370444025,0.3666527952417165
1,1,1,1,1,1,0,1,1,1,1,0,0.4063816742796643,0.338219404171894,0.37605225223491073
0,0,0,1,1,0,0,1,0,0,0,0,0.40768152228604054,0.333184598944654,0.37189495539964
0,1,1,1,0,0,1,1,0,0,0,0,0.40341159295953566,0.33262354221703905,0.3735841388982216
1,1,1,1,0,1,1,0,0,0,1,1,0.4093925822911012,0.33876815445934594,0.36628904653368405
0,0,0,1,1,1,1,1,0,0,0,1,0.41719081743409003,0.343404734274069,0.3860443540045629
1,0,1,0,1,1,0,0,0,0,1,1,0.3986681042112317,0.3352663511481505,0.3703683174205265
1,0,0,1,0,0,0,1,0,0,0,1,0.41273178635625646,0.34378752670115176,0.38172891635064576
0,1,0,1,0,0,1,1,1,1,0,0,0.40517013812448244,0.3285339134713431,0.36358187090554317
0,1,1,0,1,1,0,1,0,1,1,1,0.4183728285282413,0.34371501589955417,0.3816877468477119
0,0,1,1,0,0,1,1,0,0,0,0,0.41178403284513965,0.33717191636675514,0.3781932955931657
0,0,0,0,1,1,0,1,1,1,1,1,0.416505550835047,0.340957856297333,0.37690063717829175
0,1,0,1,1,0,1,0,1,0,1,1,0.40651026689566133,0.3379270814100622,0.3789973179401165
1,0,0,0,1,1,0,1,1,1,1,0,0.40331946108731076,0.3329277778629617,0.3707190562107096
0,0,0,1,1,0,1,0,0,1,0,1,0.42035923711624695,0.34324953710005746,0.382106595745843
1,1,1,0,0,1,1,1,0,1,1,0,0.4033662153397064,0.33338536978438615,0.36330943100816515
1,1,1,1,0,1,1,1,0,1,0,1,0.4120423165644595,0.3423603409436549,0.3721720016861551
1,0,0,0,0,1,0,1,0,0,0,0,0.4016592248663158,0.33312672400005644,0.375611462064861
1,1,1,0,0,1,0,1,1,0,0,0,0.3916819854209877,0.3270013819867287,0.3664458571545423
0,0,0,0,1,0,1,0,1,1,0,0,0.404313455244952,0.32919453919784414,0.3687223922544002
1,0,1,1,1,0,0,0,1,0,0,0,0.39187802093954427,0.328924280920739,0.3702427365355537
1,1,0,0,1,0,1,1,0,0,0,1,0.4079247062463692,0.340070871906271,0.37621868374940526
1,1,0,0,1,1,0,1,0,0,1,1,0.3987281715001518,0.33159829041815686,0.3657244393397267
0,0,1,0,1,1,1,0,0,0,0,1,0.41742161007636824,0.34520026493559347,0.38618985276128603
0,0,1,0,1,0,1,1,1,0,0,1,0.41619924944165176,0.3404509230936903,0.3698923901825611
0,1,1,0,1,0,1,1,1,1,0,1,0.4195744800250761,0.3444762814586663,0.38306394210586037
0,0,1,1,0,0,0,0,1,0,1,0,0.4000806592378207,0.3267685084078284,0.3634786129044
0,1,0,0,0,1,1,0,0,0,1,1,0.4145906432611758,0.33957635068172565,0.3696955852508744
1,0,1,0,1,1,1,0,0,1,1,0,0.40335236633903454,0.3317061060686637,0.36293905974074697
0,1,0,0,0,0,0,0,0,0,0,1,0.40989676923619667,0.33726652754468167,0.3756517900551006
1,0,0,1,0,1,1,1,1,0,1,1,0.41495243194244924,0.3452376674016269,0.3853507599184685
0,0,0,0,0,1,1,0,1,0,0,1,0.42310881163768443,0.3474826903883835,0.38480203241786043
0,0,1,1,0,1,1,0,0,0,1,0,0.40463465189427267,0.334748781568893,0.3749539522120798
0,1,1,1,1,0,0,1,1,1,1,0,0.4093772417897046,0.3347887946624009,0.3775013773005668
1,0,0,1,0,1,0,1,0,1,0,1,0.4103300441411574,0.3412311512582119,0.3795120493036382
1,0,0,1,1,0,1,1,1,0,0,1,0.4063377498167561,0.3395068043175379,0.3765710007169071
0,0,0,1,0,1,0,0,1,0,1,1,0.4175316936246709,0.3430977812022932,0.3779720344582769
0,1,1,0,1,0,0,1,0,1,1,1,0.41932231188517927,0.34619636245311913,0.3890541929004685
0,0,0,1,1,0,0,1,1,1,0,1,0.41536724834597477,0.3385661813769869,0.38069394956453806
0,0,0,0,0,1,0,0,0,1,0,1,0.4191087073299384,0.3448908703669547,0.3865530575575842
1,0,1,1,1,1,1,1,1,0,0,1,0.4066786318349364,0.34136838534369457,0.36830254188353945
1,0,0,0,0,1,1,1,1,1,0,0,0.40106923383264426,0.3300273867051677,0.3703204888687007
0,0,1,0,0,0,1,1,0,1,0,1,0.417544463619583,0.3421257281096902,0.3683696894575864
0,0,0,1,1,1,1,0,0,0,1,0,0.4088452238087338,0.3351608763797883,0.37643971450715147
0,1,1,0,1,1,0,1,0,0,0,1,0.4165296149124934,0.34601548821563266,0.384109882142487
1,1,1,0,1,1,0,1,0,0,1,0,0.3850106343187428,0.3236465794808191,0.3617442940826886
0,1,0,0,1,1,0,0,1,1,0,1,0.40725942540332294,0.33756152846346105,0.3789820404146035
1,0,1,0,1,1,1,0,1,0,1,0,0.40482749924172406,0.3334098917508961,0.36111860901164755
1,0,1,0,1,0,1,0,0,0,1,0,0.4004557010086157,0.3344114693256776,0.36732870645775173
