block_0,block_1,block_2,block_3,block_4,block_5,block_6,block_7,block_8,block_9,block_10,block_11,map50,map50_95,map75
0,0,1,0,0,0,1,0,0,1,1,0,0.40522226381525617,0.33572168973049415,0.3751940642684446
0,1,1,1,0,1,0,0,1,1,1,1,0.42178161044820855,0.34219586973882365,0.38030298066728097
0,1,0,0,0,1,0,0,0,1,0,0,0.4056894707637765,0.334812705233548,0.3752508719788052
0,1,0,1,0,0,1,1,1,0,0,1,0.4139295599874159,0.34158084290089985,0.37330861919627173
0,1,1,1,0,0,1,0,1,1,1,0,0.4159960297736601,0.3388871434744595,0.38115692216304853
0,0,0,0,1,0,0,0,0,1,1,1,0.4090881868083187,0.3374061279051448,0.37968855421419645
0,1,1,1,1,0,1,0,0,1,0,0,0.4105313933515062,0.33277625117820764,0.3730866539874327
0,1,1,0,1,1,0,1,1,0,0,1,0.4174268417411105,0.3437840908822797,0.38384458222530354
1,1,0,0,0,1,0,1,1,0,0,0,0.38801265161995613,0.3241813355189107,0.3643536509314302
1,1,0,0,1,0,1,1,1,0,1,0,0.4041838470314844,0.33195177565713707,0.37098912667205824
0,0,0,1,1,0,0,0,1,0,0,0,0.39950151901046704,0.32955205772416674,0.370155289960423
0,1,0,1,0,1,0,1,0,0,1,0,0.40749440368666334,0.3358362627868942,0.3776701429119084
0,1,0,1,0,1,0,0,1,0,1,0,0.4070631556790344,0.33475614515532615,0.37571683012352985
1,0,0,1,0,0,1,1,0,1,1,0,0.41223086841866935,0.33643982808924583,0.367239263353561
0,0,1,0,0,0,0,0,1,0,0,0,0.3979096282660279,0.326944709759874,0.3639968722861143
0,0,0,0,0,1,1,0,1,1,1,1,0.4226951848678127,0.34500440517751774,0.38188017336342445
1,1,0,1,1,1,1,0,1,0,0,0,0.39353089395160007,0.3274807932426952,0.35825864804973967
0,0,0,1,1,1,0,0,0,0,1,1,0.41806825372975565,0.3463603460713683,0.38789207794006436
0,1,1,1,1,1,0,1,1,0,1,0,0.4038212711567356,0.3328346907216285,0.37272592501382046
1,0,0,0,1,1,0,1,0,0,1,0,0.4075669837633295,0.33423815948596836,0.3739994112649684
0,1,1,0,0,0,0,0,0,0,1,0,0.40530910088861816,0.3343471920695465,0.37456578873975
1,1,1,0,0,0,1,1,0,0,1,1,0.41170226507856666,0.3419581227839202,0.3782927930375043
1,1,1,1,0,1,1,1,0,1,0,0,0.40414260843934924,0.33522993924112704,0.3651879753277178
1,0,1,0,1,0,1,1,1,1,0,1,0.40843987392341874,0.33825077053541247,0.36776863870050763
1,0,0,1,0,1,0,1,0,1,1,0,0.4107451116961785,0.33768622540277987,0.3797485686639713
0,1,0,1,0,0,1,1,0,0,0,0,0.4074879223667761,0.3324161166615743,0.3695427576942447
1,1,0,1,0,0,0,1,0,0,1,0,0.4057913643772518,0.3348720920806282,0.3765487551355913
1,1,0,1,0,0,0,0,0,0,0,0,0.39180762472856034,0.32614258323027734,0.36557897371017706
0,0,1,0,0,1,1,1,1,1,1,1,0.41184986666783535,0.3427582231836449,0.38035803878852376
