/model.1/conv/Conv,/model.13/cv1/conv/Conv,/model.16/cv1/conv/Conv,/model.16/cv2/conv/Conv,/model.17/conv/Conv,/model.2/cv2/conv/Conv,/model.20/conv/Conv,/model.23/cv2.0/cv2.0.0/conv/Conv,/model.3/conv/Conv,/model.4/cv2/conv/Conv,/model.5/conv/Conv,/model.7/conv/Conv,output0
1,0,1,0,1,1,0,0,0,0,0,1,260.7842102050781
1,0,0,0,0,0,1,1,1,0,0,0,260.11749267578125
1,0,1,1,1,1,1,1,1,1,1,0,264.540771484375
1,0,0,0,1,0,0,0,1,1,0,0,259.35150146484375
0,0,1,0,1,1,0,1,0,0,0,1,99.65940856933594
0,1,1,1,1,0,1,1,1,0,1,0,123.95014953613281
0,1,0,0,0,0,0,0,1,0,1,1,120.4473876953125
1,1,0,0,1,0,0,0,1,1,0,1,263.8638610839844
0,0,1,0,0,1,1,1,1,1,1,0,109.27360534667969
1,1,0,0,0,1,1,0,1,0,1,0,263.07977294921875
0,1,1,0,0,1,0,1,1,1,0,0,128.36184692382812
0,0,0,1,1,1,0,1,0,0,0,0,71.66028594970703
0,1,1,1,0,0,1,0,0,1,0,1,119.73030090332031
0,0,1,1,0,0,1,0,0,0,0,0,58.92797088623047
0,1,1,0,1,1,0,0,1,1,0,1,124.36634826660156
1,0,1,0,0,1,0,1,1,0,0,0,258.1066589355469
1,0,0,0,0,0,1,1,0,0,1,1,263.909912109375
0,0,1,1,0,1,1,1,0,1,0,0,103.10540771484375
0,0,1,0,0,1,1,0,1,1,1,1,113.1494140625
0,0,1,1,0,0,1,1,0,0,0,0,59.22542190551758
1,1,1,1,1,1,1,1,1,0,0,0,262.520751953125
1,0,0,0,1,1,0,0,0,1,0,1,260.12078857421875
0,0,0,0,0,0,1,1,0,0,1,0,71.64244842529297
0,1,1,0,0,0,1,0,0,0,0,0,97.36268615722656
1,0,0,0,1,0,1,0,0,0,1,0,260.3330383300781
0,1,0,1,1,1,0,1,1,1,1,0,130.21078491210938
1,0,1,1,1,0,1,0,0,1,1,0,262.25872802734375
0,0,1,1,0,1,1,0,1,1,1,0,115.23811340332031
0,0,1,1,1,1,1,1,1,0,1,1,120.47175598144531
1,0,1,1,1,0,0,1,0,1,0,1,260.5132141113281
1,1,0,1,0,1,1,0,0,1,0,1,262.7442932128906
0,0,1,0,0,0,1,0,0,0,1,0,75.5556869506836
0,0,1,1,1,1,1,1,0,1,1,1,105.83924865722656
1,1,1,1,0,1,1,0,1,1,1,1,266.2557373046875
1,0,0,0,1,0,0,0,0,0,1,0,260.0157775878906
1,1,0,1,1,1,1,1,0,0,0,0,261.9757385253906
0,1,1,0,0,0,1,1,0,0,0,0,97.36268615722656
1,1,1,1,0,0,0,0,0,1,0,1,263.7419738769531
0,1,0,1,0,1,0,0,0,1,0,1,110.71632385253906
0,1,0,1,0,1,1,1,1,1,0,0,121.1104736328125
1,0,1,1,1,1,0,1,1,1,1,0,262.9819030761719
0,1,1,1,1,0,0,0,0,1,0,0,106.45706939697266
1,0,0,1,0,1,1,1,0,1,1,0,264.4680480957031
1,0,1,0,0,0,1,0,0,1,1,1,264.1602478027344
1,1,0,0,1,0,0,0,1,1,1,0,267.5144958496094
0,1,0,1,0,0,0,1,0,1,0,0,98.45991516113281
1,0,0,0,0,0,0,0,0,1,0,0,258.1651916503906
0,1,0,1,0,0,0,1,1,1,0,1,113.5112075805664
0,0,0,0,1,0,1,1,1,0,0,0,63.02965545654297
0,0,0,0,1,0,1,0,0,1,0,0,53.1417350769043
0,0,1,1,1,0,0,1,0,1,1,1,88.57829284667969
1,1,1,0,1,0,1,0,0,0,0,0,261.5772705078125
0,0,1,1,1,0,1,0,1,0,1,0,91.91788482666016
1,0,0,1,1,0,0,0,0,0,1,1,260.92059326171875
1,0,0,1,1,1,1,0,0,1,0,1,260.67547607421875
1,0,1,1,1,0,1,0,1,0,0,1,258.18121337890625
1,1,1,0,0,0,1,0,0,1,0,0,262.35919189453125
1,0,1,0,1,0,0,1,1,1,0,0,257.4945373535156
1,1,1,1,0,1,0,0,0,1,0,0,266.8157958984375
0,1,1,1,1,1,1,1,0,1,0,1,122.72590637207031
0,1,0,1,1,1,1,1,1,0,0,1,121.70694732666016
0,1,1,1,1,1,1,0,1,0,1,0,134.9189910888672
1,1,0,1,0,1,0,0,1,0,0,0,266.5981750488281
0,0,1,1,1,1,1,1,1,0,0,1,117.83077239990234
0,1,0,0,0,0,0,0,0,1,0,1,110.6989974975586
1,1,1,1,0,1,0,1,1,0,1,1,262.60107421875
1,1,1,0,1,1,0,0,0,0,1,1,263.1747741699219
0,0,1,1,0,1,0,1,0,0,1,1,99.25704956054688
1,0,0,1,1,0,0,1,1,1,1,1,263.72918701171875
1,0,0,1,0,1,1,0,0,1,0,0,261.9718017578125
1,0,0,1,0,1,1,1,1,1,0,1,259.03070068359375
1,0,0,1,0,0,1,1,0,1,1,1,264.5450134277344
0,1,1,1,0,0,0,1,0,0,0,0,96.83808898925781
1,0,0,1,0,1,0,0,0,0,1,1,261.587646484375
0,1,1,1,1,1,0,0,0,1,0,1,121.0746841430664
1,1,1,1,0,0,1,1,1,0,1,1,270.32403564453125
1,0,0,1,0,1,0,1,1,0,0,1,257.4602966308594
0,1,0,0,0,0,0,0,1,1,0,1,108.0625
0,0,0,0,0,0,0,1,0,0,0,1,53.074668884277344
1,1,0,1,1,0,0,0,1,0,0,1,263.60736083984375
1,1,1,0,0,0,1,0,0,0,0,0,262.48638916015625
1,0,0,1,0,0,0,1,0,0,0,1,258.4712219238281
1,1,0,1,1,1,1,0,1,0,1,0,264.65875244140625
0,0,1,1,0,0,1,1,1,1,1,0,104.2861328125
1,1,1,1,1,0,1,0,0,1,0,0,261.64691162109375
0,1,0,1,0,1,0,0,1,1,1,1,132.3926239013672
0,1,0,1,0,0,0,1,1,0,0,0,102.03163146972656
0,1,1,1,0,1,1,1,0,0,0,0,119.4498291015625
1,0,0,0,0,0,0,0,0,0,0,1,257.66229248046875
1,1,0,1,0,0,0,1,1,0,1,0,268.8026428222656
1,0,0,0,0,0,0,0,1,0,0,1,259.2489318847656
1,0,1,0,0,1,1,0,1,0,0,1,256.1347351074219
1,1,0,1,0,1,1,1,1,0,1,0,266.21136474609375
1,1,1,0,1,0,1,0,0,0,1,0,264.3728942871094
1,1,0,0,1,0,0,1,1,0,0,1,263.1272888183594
0,0,1,1,0,0,1,1,0,1,0,1,89.07832336425781
0,1,0,1,0,0,1,0,0,0,0,1,102.8098373413086
1,1,1,0,1,1,1,1,0,1,1,0,266.0831604003906
1,1,0,0,0,1,1,1,1,1,1,0,265.7719421386719
1,1,0,0,0,1,1,1,1,1,1,1,265.67626953125
0,1,0,1,1,1,1,0,1,0,0,0,124.37684631347656
1,1,1,0,0,0,0,0,0,1,0,0,261.17510986328125
0,1,1,0,1,1,0,1,0,1,1,1,121.4842758178711
0,0,1,1,0,1,1,1,1,0,0,1,116.36061096191406
0,0,1,0,1,0,1,1,1,0,0,0,77.54853057861328
0,0,0,0,1,1,0,0,0,1,0,0,87.86072540283203
1,0,1,1,0,1,1,1,1,1,0,1,260.3190002441406
0,1,0,1,0,0,1,1,1,0,1,1,124.71751403808594
0,1,0,0,1,0,0,0,0,1,0,1,113.74208068847656
0,1,1,1,0,0,1,1,1,1,1,0,131.27813720703125
1,0,0,1,0,1,0,0,0,1,0,1,261.253662109375
0,1,0,0,1,0,1,0,1,0,1,0,123.482421875
1,1,0,1,1,0,0,0,0,0,1,1,264.9172668457031
0,0,1,1,1,1,0,1,0,1,0,1,108.3707046508789
0,0,0,1,1,0,1,1,1,0,0,1,82.92947387695312
0,0,0,0,1,0,1,0,0,0,0,1,61.32741165161133
0,0,1,0,0,1,0,0,0,0,0,0,80.48121643066406
1,1,1,1,1,0,1,1,1,1,0,0,264.7094421386719
1,0,1,0,1,1,0,1,0,1,0,1,260.2807312011719
0,1,1,1,1,1,1,0,0,0,0,0,122.17002868652344
0,1,0,0,1,0,1,1,0,0,0,0,97.92523193359375
1,1,0,0,0,0,1,0,0,1,1,1,267.33343505859375
1,1,0,1,0,0,1,1,0,0,1,0,266.0077819824219
1,0,0,0,0,0,1,1,1,1,1,1,264.9991760253906
1,0,1,1,0,1,0,0,1,1,0,1,260.25042724609375
1,0,0,1,1,1,0,1,0,1,0,1,260.8548278808594
0,1,1,0,1,0,0,0,1,1,0,1,120.40763092041016
0,0,0,1,1,1,0,0,1,1,0,0,102.6996078491211
1,0,0,1,0,0,0,1,1,1,0,0,263.580322265625
0,1,0,1,1,1,0,0,0,1,1,1,128.80191040039062
0,1,1,0,1,1,0,1,1,1,0,0,130.38754272460938
1,1,0,0,0,1,0,1,1,1,0,0,261.8475646972656
0,1,0,0,1,1,1,1,1,0,1,1,129.0312042236328
0,1,0,1,0,1,1,0,0,0,0,0,113.5311050415039
0,1,1,1,0,0,0,0,1,1,1,0,132.23162841796875
1,0,0,0,1,0,1,1,1,0,0,0,256.8017883300781
1,0,0,1,0,0,0,0,1,0,1,1,264.27252197265625
0,1,1,1,0,1,1,0,0,0,1,1,122.39970397949219
1,0,1,0,0,0,1,0,1,0,1,0,263.58697509765625
1,1,0,0,1,0,0,1,0,1,1,0,262.89453125
1,0,0,0,0,0,0,1,1,1,0,1,262.32965087890625
0,1,0,1,0,0,1,0,0,1,1,1,111.22724914550781
0,0,0,1,0,1,0,0,0,1,1,0,93.08534240722656
0,1,1,0,1,0,1,1,1,1,0,1,122.65266418457031
0,0,0,0,0,0,1,0,1,0,0,1,77.06471252441406
1,1,1,0,1,1,1,1,1,0,0,0,259.94366455078125
1,0,0,0,1,1,1,0,1,1,0,0,257.32318115234375
0,1,1,1,0,0,1,1,1,1,0,0,114.5994644165039
0,0,1,1,1,1,0,0,0,0,1,0,91.78536224365234
0,1,0,0,0,0,1,1,1,0,0,0,102.98274993896484
0,1,0,1,0,0,1,0,0,1,1,0,103.4189453125
0,0,1,0,0,1,0,0,0,0,1,0,85.12053680419922
1,0,0,1,1,0,0,1,1,0,0,0,257.24749755859375
1,0,0,0,0,1,1,1,0,1,1,0,263.5265197753906
0,1,0,1,0,0,0,0,1,1,1,1,128.68667602539062
0,0,1,0,1,1,1,1,1,0,1,0,100.89875030517578
1,0,1,0,1,1,1,0,0,1,0,1,261.13201904296875
0,0,1,0,1,0,0,0,1,0,1,1,94.78145599365234
0,1,1,0,1,1,0,1,1,0,0,0,136.80030822753906
1,1,1,0,0,1,1,1,0,0,1,0,262.1854553222656
1,0,0,1,1,0,1,1,1,0,1,1,262.2313537597656
1,1,1,0,0,1,1,0,0,1,0,1,262.3480529785156
1,1,0,1,0,0,0,0,0,0,1,1,267.44683837890625
0,0,1,1,1,1,0,1,1,1,0,1,114.4322738647461
1,1,1,0,0,0,0,1,1,0,1,0,267.35906982421875
1,0,0,0,0,0,1,1,1,1,0,1,262.4943542480469
1,0,0,0,0,1,0,1,0,1,1,0,262.87261962890625
0,0,0,1,0,0,0,1,1,0,0,1,83.01900482177734
1,0,1,1,1,1,1,1,0,1,1,0,264.74676513671875
1,0,1,0,1,1,0,1,1,0,1,1,259.05218505859375
0,1,0,1,1,1,0,0,0,0,0,1,115.2141342163086
0,1,0,0,0,0,0,1,1,0,0,0,98.7685775756836
1,1,0,1,0,0,0,0,0,1,1,0,265.8985900878906
1,1,0,0,1,1,1,0,1,0,0,0,258.62359619140625
0,0,1,0,0,1,0,1,0,0,0,1,96.10493469238281
0,1,0,0,0,0,1,0,1,1,0,0,112.21553039550781
0,0,1,0,0,1,0,0,0,0,0,1,96.10493469238281
1,0,1,1,0,1,1,0,1,0,0,0,260.84259033203125
1,1,1,0,1,0,0,1,1,1,0,0,263.64617919921875
1,0,0,0,1,1,1,1,0,0,0,0,259.00274658203125
0,1,1,0,0,1,1,0,0,0,0,0,120.4331283569336
0,0,1,0,0,1,0,0,1,1,1,0,108.76228332519531
1,1,0,1,1,0,1,0,0,1,1,1,264.05157470703125
1,0,1,0,1,0,1,0,0,0,1,0,261.56982421875
0,1,0,0,0,1,1,1,0,1,1,0,110.85050201416016
1,1,1,1,1,1,0,0,1,0,1,1,262.64910888671875
0,0,0,1,1,0,0,0,1,1,0,1,101.41181945800781
0,0,0,0,0,1,0,1,0,1,0,0,80.84030151367188
1,0,1,1,0,1,1,1,0,0,0,0,262.9691162109375
1,0,1,0,1,0,1,0,0,1,1,1,263.1673278808594
1,0,1,1,0,1,0,0,1,1,0,0,259.6336364746094
1,0,0,1,0,0,0,0,1,1,1,1,265.19757080078125
