/model.1/conv/Conv,/model.13/cv1/conv/Conv,/model.16/cv1/conv/Conv,/model.16/cv2/conv/Conv,/model.17/conv/Conv,/model.2/cv2/conv/Conv,/model.20/conv/Conv,/model.23/cv2.0/cv2.0.0/conv/Conv,/model.3/conv/Conv,/model.4/cv2/conv/Conv,/model.5/conv/Conv,/model.7/conv/Conv,output0
0,1,1,1,0,1,1,1,0,0,0,0,1075.650146484375
1,0,0,0,0,0,0,0,0,0,0,1,2488.011474609375
1,1,0,1,0,0,0,1,1,0,1,0,2859.135986328125
1,0,0,0,0,0,0,0,1,0,0,1,2517.592529296875
1,0,1,0,0,1,1,0,1,0,0,1,2541.78125
1,1,0,1,0,1,1,1,1,0,1,0,2820.14697265625
1,1,1,0,1,0,1,0,0,0,1,0,2641.63720703125
1,1,0,0,1,0,0,1,1,0,0,1,2621.304931640625
0,0,1,1,0,0,1,1,0,1,0,1,1015.7056884765625
0,1,0,1,0,0,1,0,0,0,0,1,644.0638427734375
1,1,1,0,1,1,1,1,0,1,1,0,2760.06396484375
1,1,0,0,0,1,1,1,1,1,1,0,2680.14794921875
1,1,0,0,0,1,1,1,1,1,1,1,2704.531982421875
0,1,0,1,1,1,1,0,1,0,0,0,743.4810180664062
1,1,1,0,0,0,0,0,0,1,0,0,2534.26025390625
0,1,1,0,1,1,0,1,0,1,1,1,906.0460815429688
0,0,1,1,0,1,1,1,1,0,0,1,1095.563720703125
0,0,1,0,1,0,1,1,1,0,0,0,702.6041259765625
0,0,0,0,1,1,0,0,0,1,0,0,377.9765625
1,0,1,1,0,1,1,1,1,1,0,1,2777.8603515625
0,1,0,1,0,0,1,1,1,0,1,1,1104.507568359375
0,1,0,0,1,0,0,0,0,1,0,1,555.2490234375
0,1,1,1,0,0,1,1,1,1,1,0,1139.3944091796875
1,0,0,1,0,1,0,0,0,1,0,1,2639.91943359375
0,1,0,0,1,0,1,0,1,0,1,0,661.9903564453125
1,1,0,1,1,0,0,0,0,0,1,1,2703.56494140625
0,0,1,1,1,1,0,1,0,1,0,1,1080.324951171875
