/model.1/conv/Conv,/model.13/cv1/conv/Conv,/model.16/cv1/conv/Conv,/model.17/conv/Conv,/model.2/cv2/conv/Conv,/model.23/cv2.0/cv2.0.0/conv/Conv,/model.23/cv2.0/cv2.0.1/conv/Conv,/model.23/cv2.1/cv2.1.0/conv/Conv,/model.3/conv/Conv,/model.4/cv2/conv/Conv,/model.5/conv/Conv,/model.7/conv/Conv,output0
1,0,0,0,0,0,0,0,1,0,0,0,317.8901672363281
0,1,0,1,1,1,0,1,0,0,0,1,244.431396484375
1,1,1,0,1,1,1,1,1,1,1,1,344.25787353515625
0,0,1,1,0,0,1,0,0,0,0,1,54.3002815246582
1,0,1,1,1,1,1,1,0,0,1,0,340.0274353027344
0,0,0,0,0,1,0,0,0,1,0,0,177.94212341308594
1,1,1,1,1,1,1,1,0,1,0,1,332.7893981933594
1,1,0,0,0,0,0,0,0,1,0,1,319.291259765625
1,0,1,0,0,0,1,0,0,1,0,1,321.348876953125
1,1,0,1,1,1,1,0,0,0,0,1,335.57391357421875
0,0,0,0,1,0,0,1,0,0,0,1,242.4654998779297
0,1,0,1,1,1,1,1,1,1,1,1,277.4964599609375
0,0,1,0,1,0,0,1,0,0,0,0,243.2810821533203
0,1,0,0,1,0,1,0,0,0,0,1,246.28701782226562
0,1,0,0,0,0,1,0,0,1,1,0,210.2528076171875
1,0,1,1,1,1,1,1,1,1,1,1,345.3777160644531
0,0,1,1,0,0,0,1,0,1,0,0,173.4942626953125
0,0,1,1,0,0,0,0,0,0,1,0,118.40159606933594
1,1,1,1,0,1,0,0,1,1,1,1,322.24066162109375
1,1,0,1,1,1,1,1,1,0,1,1,345.65130615234375
0,0,0,0,1,0,0,0,0,0,0,1,243.36227416992188
0,0,0,0,0,0,0,0,1,0,0,1,183.2808380126953
1,1,0,1,0,0,0,0,0,1,0,1,318.71038818359375
0,0,0,0,0,0,0,0,0,1,0,0,178.08151245117188
1,1,1,0,1,1,0,0,0,0,0,1,335.27239990234375
1,1,0,0,1,0,0,1,0,0,1,1,340.7563171386719
0,0,1,1,1,1,0,1,0,1,1,1,272.7413330078125
1,0,0,0,1,1,1,1,0,0,1,1,340.91717529296875
1,0,1,1,0,0,0,1,1,0,0,1,316.8140869140625
0,1,0,0,0,0,0,0,0,1,0,1,189.5442352294922
1,0,1,1,0,1,1,1,1,0,0,1,316.8140869140625
0,1,0,0,1,1,1,1,0,1,0,0,260.4568176269531
0,1,1,0,1,1,1,1,1,0,1,1,254.1436767578125
1,1,0,0,1,0,1,1,1,1,1,1,343.81072998046875
0,1,0,0,1,1,1,0,0,1,1,1,274.3564758300781
1,0,1,1,0,0,0,0,0,1,0,1,320.9643249511719
1,1,1,0,0,0,0,0,0,0,0,1,317.3141174316406
0,1,0,0,0,1,0,1,0,1,1,1,218.1434326171875
0,0,1,1,0,1,0,1,0,1,1,1,213.5634002685547
0,1,1,0,0,0,0,1,1,0,1,0,202.50912475585938
0,0,0,0,0,0,1,0,0,1,0,0,178.08151245117188
1,0,0,0,0,0,0,0,0,0,0,1,319.79571533203125
0,0,1,0,0,0,0,0,0,0,1,1,129.63323974609375
1,0,0,0,0,0,1,1,1,1,0,0,317.1854553222656
0,0,0,0,1,1,1,0,0,0,1,0,238.4337158203125
1,0,0,1,0,0,0,0,0,0,0,1,319.92877197265625
0,1,0,0,1,0,0,0,0,0,1,1,243.23898315429688
1,0,0,1,1,0,1,1,1,1,1,1,343.72314453125
0,0,1,0,0,0,0,1,1,1,0,0,223.7218780517578
1,0,0,1,1,1,1,1,0,0,0,1,334.1098937988281
0,0,0,0,0,0,0,0,1,1,0,0,224.69277954101562
0,0,0,0,0,0,1,0,0,0,1,0,114.7229232788086
1,1,0,0,1,1,1,1,1,1,0,1,343.3380126953125
1,1,1,0,0,1,1,0,1,1,1,1,322.2652893066406
1,1,1,0,1,1,1,0,1,1,0,0,343.55047607421875
1,0,0,1,1,1,1,0,0,0,0,0,333.4700927734375
0,1,1,0,1,1,1,0,1,1,1,1,279.47906494140625
1,0,0,1,1,0,1,0,0,0,1,0,340.25262451171875
0,1,0,1,0,1,1,0,0,1,1,1,218.2794189453125
0,0,1,1,0,1,1,1,1,1,0,0,223.26376342773438
0,1,0,0,0,0,0,0,0,1,0,0,179.0172576904297
1,0,1,1,1,0,0,0,1,1,0,0,343.40887451171875
0,1,1,0,1,1,1,1,0,0,0,1,242.9343719482422
0,0,0,1,0,1,1,0,0,0,0,0,22.522594451904297
0,0,1,0,0,0,0,1,1,0,1,0,201.5802764892578
0,0,0,0,1,1,0,0,0,0,0,0,246.3028564453125
1,1,1,0,0,0,1,0,1,0,1,1,317.2500915527344
0,0,0,1,0,0,0,0,0,1,1,1,213.3368377685547
1,1,1,0,1,1,1,0,1,1,1,1,344.262939453125
0,0,0,0,1,0,0,0,1,0,1,1,249.86056518554688
0,1,1,1,0,1,1,1,1,1,1,1,247.8777618408203
0,1,1,0,1,0,0,0,1,1,1,1,279.3193664550781
0,0,0,1,0,1,0,0,0,0,0,0,19.140520095825195
0,0,0,0,0,0,1,0,0,0,0,1,51.6706428527832
0,0,1,1,0,0,1,1,0,1,1,0,210.3256378173828
0,0,0,1,1,0,1,0,0,0,1,1,237.892822265625
0,0,1,1,0,1,0,0,0,0,0,1,53.78009033203125
1,0,1,1,1,0,0,1,1,1,1,0,344.672119140625
0,0,1,0,0,0,0,0,0,0,0,1,50.86711883544922
1,0,0,0,1,1,1,1,1,1,1,1,343.6940002441406
0,1,1,1,0,1,1,0,1,1,1,1,247.50717163085938
1,0,0,0,0,1,1,0,0,0,0,0,318.8824157714844
1,1,0,0,1,0,1,1,0,0,0,0,334.58343505859375
1,0,0,0,1,0,0,0,0,0,0,0,333.44970703125
1,0,0,1,1,0,1,1,1,1,1,0,344.4707946777344
1,0,1,1,1,1,0,0,0,0,0,0,333.7831115722656
1,0,0,1,1,1,1,1,0,1,0,1,333.2179870605469
1,1,0,0,1,1,0,0,1,1,1,1,343.8678283691406
1,1,0,1,0,0,1,1,1,1,0,0,315.5969543457031
1,0,0,0,0,1,0,1,0,0,1,0,320.1247863769531
1,0,1,1,1,0,1,1,1,0,1,1,346.4485168457031
1,1,0,1,1,1,1,1,0,0,1,1,340.84307861328125
1,1,0,0,1,1,1,1,1,1,1,1,343.83551025390625
1,1,0,0,1,1,0,0,0,0,0,1,335.3106994628906
1,1,1,1,0,1,1,1,1,0,0,0,316.32598876953125
1,0,0,0,1,0,1,1,1,1,1,1,343.76177978515625
0,0,1,1,1,0,0,1,0,0,1,0,236.8470458984375
0,1,0,0,0,1,1,1,0,0,1,0,120.87373352050781
0,0,1,0,1,0,0,0,1,1,1,0,269.592529296875
1,1,1,0,1,1,0,1,0,1,1,1,329.52374267578125
0,0,1,0,1,1,0,1,1,0,1,1,250.5027618408203
0,0,0,0,1,0,0,1,1,0,0,0,248.4472198486328
1,1,0,0,0,0,0,0,1,1,1,1,322.45458984375
1,0,1,0,1,1,1,0,1,0,1,1,346.66461181640625
1,0,0,0,1,0,0,0,0,1,0,1,333.63153076171875
1,0,1,0,1,0,1,1,1,1,0,0,342.5784606933594
0,1,1,1,1,1,1,1,0,1,1,0,266.751953125
0,1,0,0,1,0,1,1,1,0,0,1,253.91213989257812
1,0,1,1,0,1,0,1,1,1,1,1,323.08892822265625
0,0,0,1,0,0,1,0,0,0,1,0,113.69450378417969
1,0,1,0,1,0,0,1,0,0,1,1,341.53778076171875
1,0,0,1,1,0,0,1,0,1,0,0,332.8541259765625
0,1,1,0,1,1,1,1,1,1,1,1,278.7162170410156
0,0,1,0,1,0,1,1,0,0,0,0,243.2810821533203
0,1,0,1,0,0,1,1,1,1,0,0,229.04916381835938
0,1,1,0,1,0,0,0,0,0,1,1,242.9743194580078
0,0,0,0,1,0,1,1,0,0,1,0,239.0290985107422
