/model.1/conv/Conv,/model.13/cv1/conv/Conv,/model.16/cv1/conv/Conv,/model.17/conv/Conv,/model.2/cv2/conv/Conv,/model.23/cv2.0/cv2.0.0/conv/Conv,/model.23/cv2.0/cv2.0.1/conv/Conv,/model.23/cv2.1/cv2.1.0/conv/Conv,/model.3/conv/Conv,/model.4/cv2/conv/Conv,/model.5/conv/Conv,/model.7/conv/Conv,output0
0,1,1,0,1,1,1,1,0,0,0,1,0.0025339825078845024
0,0,0,1,0,1,1,0,0,0,0,0,0.0005034971400164068
0,0,1,0,0,0,0,1,1,0,1,0,0.0018193942960351706
0,0,0,0,1,1,0,0,0,0,0,0,0.002418701071292162
1,1,1,0,0,0,1,0,1,0,1,1,0.003973360639065504
0,0,0,1,0,0,0,0,0,1,1,1,0.0019650901667773724
1,1,1,0,1,1,1,0,1,1,1,1,0.004320797976106405
0,0,0,0,1,0,0,0,1,0,1,1,0.0024149948731064796
0,1,1,1,0,1,1,1,1,1,1,1,0.0025668535381555557
0,1,1,0,1,0,0,0,1,1,1,1,0.002996322000399232
0,0,0,1,0,1,0,0,0,0,0,0,0.00029909302247688174
0,0,0,0,0,0,1,0,0,0,0,1,0.00045826128916814923
0,0,1,1,0,0,1,1,0,1,1,0,0.001975575927644968
0,0,0,1,1,0,1,0,0,0,1,1,0.002460825489833951
0,0,1,1,0,1,0,0,0,0,0,1,0.0005707088857889175
1,0,1,1,1,0,0,1,1,1,1,0,0.004385008476674557
0,0,1,0,0,0,0,0,0,0,0,1,0.00047546677524223924
1,0,0,0,1,1,1,1,1,1,1,1,0.00431841891258955
0,1,1,1,0,1,1,0,1,1,1,1,0.0025111723225563765
1,0,0,0,0,1,1,0,0,0,0,0,0.003651795908808708
1,1,0,0,1,0,1,1,0,0,0,0,0.0037641357630491257
1,0,0,0,1,0,0,0,0,0,0,0,0.0037337946705520153
1,0,0,1,1,0,1,1,1,1,1,0,0.004281097557395697
1,0,1,1,1,1,0,0,0,0,0,0,0.0037804744206368923
1,0,0,1,1,1,1,1,0,1,0,1,0.003931834362447262
1,1,0,0,1,1,0,0,1,1,1,1,0.0043504973873496056
1,1,0,1,0,0,1,1,1,1,0,0,0.0039480566047132015
1,0,0,0,0,1,0,1,0,0,1,0,0.003838024567812681
1,0,1,1,1,0,1,1,1,0,1,1,0.004143319558352232
1,1,0,1,1,1,1,1,0,0,1,1,0.0038774763233959675
1,1,0,0,1,1,1,1,1,1,1,1,0.004327010829001665
1,1,0,0,1,1,0,0,0,0,0,1,0.003814286319538951
1,1,1,1,0,1,1,1,1,0,0,0,0.0039268722757697105
1,0,0,0,1,0,1,1,1,1,1,1,0.004312272183597088
0,0,1,1,1,0,0,1,0,0,1,0,0.002536487765610218
0,1,0,0,0,1,1,1,0,0,1,0,0.0010868096724152565
0,0,1,0,1,0,0,0,1,1,1,0,0.0028682807460427284
1,1,1,0,1,1,0,1,0,1,1,1,0.003972373437136412
0,0,1,0,1,1,0,1,1,0,1,1,0.0025069916155189276
0,0,0,0,1,0,0,1,1,0,0,0,0.002399142598733306
1,1,0,0,0,0,0,0,1,1,1,1,0.0041614556685090065
1,0,1,0,1,1,1,0,1,0,1,1,0.004105536267161369
1,0,0,0,1,0,0,0,0,1,0,1,0.003921913914382458
1,0,1,0,1,0,1,1,1,1,0,0,0.004253667779266834
0,1,1,1,1,1,1,1,0,1,1,0,0.00287218508310616
0,1,0,0,1,0,1,1,1,0,0,1,0.002505834214389324
1,0,1,1,0,1,0,1,1,1,1,1,0.004227417521178722
0,0,0,1,0,0,1,0,0,0,1,0,0.0009046190534718335
1,0,1,0,1,0,0,1,0,0,1,1,0.003950015641748905
1,0,0,1,1,0,0,1,0,1,0,0,0.003955261316150427
0,1,1,0,1,1,1,1,1,1,1,1,0.003015274880453944
0,0,1,0,1,0,1,1,0,0,0,0,0.0024663677904754877
0,1,0,1,0,0,1,1,1,1,0,0,0.0021949599031358957
0,1,1,0,1,0,0,0,0,0,1,1,0.0025460415054112673
0,0,0,0,1,0,1,1,0,0,1,0,0.002463896758854389
0,0,0,1,0,0,0,0,1,1,0,0,0.002137011382728815
1,0,0,0,0,0,0,1,0,1,0,0,0.003848298918455839
1,1,0,1,1,0,0,1,0,1,1,1,0.003935978747904301
0,1,1,0,0,0,0,0,0,0,0,1,0.0006216271431185305
0,1,1,0,0,1,0,1,1,1,1,1,0.002606980036944151
0,1,1,0,1,1,0,0,0,1,1,0,0.0028679852839559317
0,1,0,0,1,1,0,0,0,1,1,0,0.002829871838912368
0,0,1,0,0,0,1,0,0,1,1,1,0.0019871785771101713
0,0,1,1,1,1,0,0,0,1,0,1,0.0027165059000253677
0,0,1,1,1,0,0,1,1,0,1,0,0.002455637091770768
0,0,1,0,1,0,1,0,0,1,0,1,0.002655747812241316
0,1,0,1,1,0,0,1,0,1,0,1,0.002760798204690218
1,0,1,1,1,1,1,0,1,1,1,1,0.004322604276239872
1,0,1,0,1,0,0,0,1,0,0,1,0.004182013683021069
0,0,0,0,0,0,0,0,0,1,1,1,0.0019578197970986366
0,0,0,0,0,0,0,1,0,0,1,0,0.0009239477221854031
1,1,0,1,1,0,1,0,1,0,1,0,0.004048794042319059
1,0,1,0,1,0,0,0,1,0,1,0,0.004102438222616911
1,1,1,1,1,1,0,1,1,0,0,1,0.004256033338606358
1,0,0,1,1,1,1,1,1,1,1,1,0.004324397072196007
1,0,0,1,1,1,1,0,1,0,1,0,0.004035356920212507
1,0,1,1,0,0,1,1,1,1,1,0,0.004103372804820538
1,0,0,0,0,0,0,0,0,1,1,1,0.004036732017993927
1,0,1,0,0,0,0,1,0,0,0,0,0.003758822800591588
0,1,0,1,1,1,1,1,1,1,1,0,0.002878666389733553
0,1,0,1,1,1,1,0,1,0,1,1,0.0024960527662187815
0,0,0,1,0,0,1,1,0,0,0,1,0.0005677347653545439
0,0,1,1,0,0,1,0,0,0,1,0,0.0009724491974338889
1,0,0,0,1,0,1,1,1,0,0,0,0.004093196243047714
1,1,1,0,1,0,1,1,1,1,1,1,0.004356734454631805
0,0,0,0,1,0,0,1,1,0,0,1,0.00246009835973382
0,0,1,1,0,0,0,1,1,1,1,1,0.0025236760266125202
0,1,0,0,0,1,1,0,0,1,0,1,0.0017239833250641823
0,1,1,1,1,1,1,0,1,0,0,0,0.002437807619571686
1,0,1,1,1,1,0,0,1,0,0,1,0.004200012423098087
1,1,1,1,1,1,0,1,1,1,1,0,0.004417366813868284
1,1,0,0,0,1,1,0,1,0,1,1,0.003946690354496241
0,1,1,1,1,1,0,1,1,0,1,0,0.002501807874068618
0,1,1,0,1,0,1,1,1,0,0,1,0.0025570658035576344
1,0,0,1,0,0,0,0,0,1,0,0,0.003808544483035803
0,0,0,1,1,1,0,0,1,1,0,0,0.002983852056786418
1,1,0,1,1,0,1,0,1,1,1,1,0.004287056624889374
0,0,0,0,1,0,1,1,0,1,1,1,0.0028425606433302164
0,1,1,0,0,1,0,1,1,0,1,1,0.001988175790756941
0,1,1,1,1,1,0,1,1,0,0,1,0.0025997720658779144
1,1,1,0,1,0,1,0,1,1,1,1,0.004314708057790995
0,1,0,0,0,1,1,0,1,1,1,1,0.0024662059731781483
1,1,1,1,0,1,1,0,0,1,1,1,0.004079337231814861
1,1,1,1,1,0,0,1,1,0,1,1,0.004201485775411129
0,1,0,1,1,1,1,1,1,1,0,1,0.003070103470236063
0,1,0,0,0,0,1,0,1,1,0,0,0.0021336779464036226
1,1,0,0,0,0,0,1,1,1,1,0,0.0041452329605817795
0,0,1,1,0,0,0,0,0,0,0,0,0.00042051932541653514
0,1,0,0,1,0,1,1,0,0,1,1,0.002529752906411886
1,0,0,0,0,0,1,0,1,0,0,0,0.003795647295191884
1,1,1,1,1,0,1,1,1,1,0,0,0.004286814946681261
0,0,0,1,1,0,0,0,0,0,0,1,0.0024096190463751554
0,0,1,0,1,0,1,1,1,1,1,1,0.0029354779981076717
1,0,0,1,1,0,0,0,1,1,1,1,0.004344860557466745
0,1,0,1,0,0,0,0,0,1,1,0,0.0019186058780178428
1,0,0,0,1,0,1,0,1,1,0,1,0.004212244879454374
0,0,1,0,0,1,0,0,0,0,1,1,0.0010567719582468271
0,0,0,0,1,1,0,0,0,0,0,1,0.002417296636849642
1,1,0,0,0,0,0,0,1,1,1,0,0.004096749238669872
0,1,1,1,0,0,1,1,1,1,1,1,0.002554898615926504
1,0,1,0,0,1,1,1,1,0,1,1,0.004006588831543922
0,1,1,1,1,0,0,0,0,1,0,0,0.002719431882724166
0,1,0,1,1,1,0,1,0,1,1,1,0.0029415576718747616
0,1,0,0,0,1,0,0,0,1,1,1,0.0020404455717653036
0,0,0,0,0,0,0,0,0,1,0,1,0.0016229662578552961
1,1,0,1,1,1,1,0,0,0,1,1,0.0038326748181134462
1,0,1,0,1,1,0,0,0,0,0,0,0.0037783856969326735
1,1,1,1,0,1,1,0,0,0,1,1,0.003841869067400694
1,0,0,0,1,0,0,1,0,0,1,0,0.003872315166518092
1,1,1,0,1,1,1,1,1,1,1,0,0.004345662426203489
1,0,1,0,0,0,1,1,0,0,0,0,0.003716078819707036
1,1,1,0,1,1,1,0,0,0,1,1,0.0038636799436062574
1,1,1,1,1,0,1,1,1,1,1,0,0.004350201226770878
0,1,1,0,1,1,0,1,1,1,0,0,0.0031064790673553944
0,1,1,0,1,1,0,1,1,1,1,0,0.00295243039727211
1,0,0,1,1,1,1,1,1,0,0,1,0.004155918024480343
0,1,1,1,1,1,0,1,0,0,0,0,0.002535755280405283
0,0,1,0,1,1,1,0,1,1,0,0,0.0029861396178603172
1,0,0,1,1,1,1,1,1,1,1,0,0.004283481743186712
0,0,0,0,0,1,0,0,0,0,1,1,0.000980400713160634
0,0,0,0,1,0,1,0,0,0,0,0,0.002376826712861657
0,1,0,0,1,1,0,0,0,1,0,0,0.002688546199351549
0,1,0,0,1,0,0,0,1,1,0,1,0.003044096753001213
1,1,0,0,0,0,0,0,0,0,0,0,0.0037117041647434235
0,1,0,0,0,0,0,0,0,0,0,0,0.0004010317788925022
0,1,1,0,0,0,0,0,0,1,0,0,0.0016424482455477118
0,1,1,1,0,0,0,0,0,0,0,0,0.0005799361388199031
0,0,1,1,0,1,1,1,0,0,0,0,0.0006959669408388436
0,0,0,1,0,1,1,1,0,0,1,0,0.0010279761627316475
0,1,0,1,1,0,1,1,0,0,1,0,0.0024929954670369625
0,1,1,0,0,0,1,0,0,0,0,1,0.0006830737111158669
0,0,1,1,1,1,1,1,1,0,0,1,0.002529790857806802
1,1,1,1,1,0,0,1,0,1,0,0,0.004005386494100094
1,0,1,0,0,1,0,0,0,0,0,1,0.0037608593702316284
0,1,0,0,0,0,0,0,0,0,1,0,0.0009438336128368974
1,0,0,1,1,1,0,1,1,1,0,0,0.00427317013964057
1,1,0,1,1,1,1,0,1,1,1,1,0.0042875963263213634
0,1,1,1,1,1,1,1,1,0,1,1,0.002572066616266966
0,1,1,1,0,1,0,0,0,0,0,1,0.000690628367010504
0,0,0,1,0,0,0,0,0,0,1,0,0.0008698113961145282
0,0,0,1,0,1,0,0,1,0,1,1,0.0017975829541683197
0,1,1,0,1,1,0,1,0,1,0,0,0.002767105819657445
0,0,0,0,1,1,0,0,0,1,1,1,0.0028496868908405304
1,0,0,1,0,0,0,1,1,1,1,0,0.004121341276913881
1,0,0,0,1,0,1,1,1,0,0,1,0.0041404650546610355
1,0,0,1,0,0,1,0,1,0,1,1,0.0039208075031638145
1,0,1,1,0,1,1,1,1,1,0,0,0.003971956204622984
1,0,1,1,1,0,1,1,0,1,1,0,0.0038650543428957462
0,0,0,1,1,0,0,0,0,0,0,0,0.002409697277471423
0,0,0,0,0,1,0,0,0,0,1,0,0.0008922691340558231
0,1,1,0,1,0,0,0,1,1,1,0,0.0028998409397900105
0,0,1,0,0,0,0,0,0,0,1,0,0.0009308480657637119
0,1,0,0,1,1,1,1,1,1,1,0,0.0028750021010637283
1,1,1,0,0,1,0,1,1,0,1,0,0.004031459800899029
