/model.1/conv/Conv,/model.13/cv1/conv/Conv,/model.16/cv1/conv/Conv,/model.17/conv/Conv,/model.2/cv2/conv/Conv,/model.23/cv2.0/cv2.0.0/conv/Conv,/model.23/cv2.0/cv2.0.1/conv/Conv,/model.23/cv2.1/cv2.1.0/conv/Conv,/model.3/conv/Conv,/model.4/cv2/conv/Conv,/model.5/conv/Conv,/model.7/conv/Conv,output0
1,1,0,1,1,1,1,0,0,0,0,1,30.612224578857422
0,0,0,0,1,0,0,1,0,0,0,1,35.284645080566406
0,1,0,1,1,1,1,1,1,1,1,1,32.939231872558594
0,0,1,0,1,0,0,1,0,0,0,0,34.83341979980469
0,1,0,0,1,0,1,0,0,0,0,1,34.960575103759766
0,1,0,0,0,0,1,0,0,1,1,0,36.88877868652344
1,0,1,1,1,1,1,1,1,1,1,1,29.203487396240234
0,0,1,1,0,0,0,1,0,1,0,0,37.718257904052734
0,0,1,1,0,0,0,0,0,0,1,0,41.8093376159668
1,1,1,1,0,1,0,0,1,1,1,1,29.23324966430664
1,1,0,1,1,1,1,1,1,0,1,1,29.713825225830078
0,0,0,0,1,0,0,0,0,0,0,1,35.5445556640625
0,0,0,0,0,0,0,0,1,0,0,1,38.540771484375
1,1,0,1,0,0,0,0,0,1,0,1,30.329391479492188
0,0,0,0,0,0,0,0,0,1,0,0,39.29520797729492
1,1,1,0,1,1,0,0,0,0,0,1,30.306594848632812
1,1,0,0,1,0,0,1,0,0,1,1,30.32552719116211
0,0,1,1,1,1,0,1,0,1,1,1,33.06314468383789
1,0,0,0,1,1,1,1,0,0,1,1,30.401086807250977
1,0,1,1,0,0,0,1,1,0,0,1,30.025339126586914
0,1,0,0,0,0,0,0,0,1,0,1,37.89118194580078
1,0,1,1,0,1,1,1,1,0,0,1,30.0429630279541
0,1,0,0,1,1,1,1,0,1,0,0,33.82514572143555
0,1,1,0,1,1,1,1,1,0,1,1,33.958824157714844
1,1,0,0,1,0,1,1,1,1,1,1,29.308582305908203
0,1,0,0,1,1,1,0,0,1,1,1,33.323787689208984
1,0,1,1,0,0,0,0,0,1,0,1,30.316051483154297
1,1,1,0,0,0,0,0,0,0,0,1,30.72677230834961
0,1,0,0,0,1,0,1,0,1,1,1,35.75511932373047
0,0,1,1,0,1,0,1,0,1,1,1,35.67415237426758
0,1,1,0,0,0,0,1,1,0,1,0,36.34625244140625
0,0,0,0,0,0,1,0,0,1,0,0,38.93296813964844
1,0,0,0,0,0,0,0,0,0,0,1,31.00832748413086
0,0,1,0,0,0,0,0,0,0,1,1,41.527774810791016
1,0,0,0,0,0,1,1,1,1,0,0,30.09824562072754
0,0,0,0,1,1,1,0,0,0,1,0,34.662784576416016
1,0,0,1,0,0,0,0,0,0,0,1,30.957286834716797
0,1,0,0,1,0,0,0,0,0,1,1,34.60601043701172
1,0,0,1,1,0,1,1,1,1,1,1,29.36814308166504
0,0,1,0,0,0,0,1,1,1,0,0,35.16118240356445
1,0,0,1,1,1,1,1,0,0,0,1,30.567272186279297
0,0,0,0,0,0,0,0,1,1,0,0,35.82921600341797
0,0,0,0,0,0,1,0,0,0,1,0,42.380653381347656
1,1,0,0,1,1,1,1,1,1,0,1,29.345928192138672
1,1,1,0,0,1,1,0,1,1,1,1,29.47030258178711
1,1,1,0,1,1,1,0,1,1,0,0,29.380441665649414
1,0,0,1,1,1,1,0,0,0,0,0,30.811214447021484
0,1,1,0,1,1,1,0,1,1,1,1,32.91259002685547
1,0,0,1,1,0,1,0,0,0,1,0,30.76406478881836
0,1,0,1,0,1,1,0,0,1,1,1,36.0998420715332
0,0,1,1,0,1,1,1,1,1,0,0,34.9270133972168
0,1,0,0,0,0,0,0,0,1,0,0,38.39030838012695
1,0,1,1,1,0,0,0,1,1,0,0,29.316925048828125
0,1,1,0,1,1,1,1,0,0,0,1,34.08910369873047
