/model.1/conv/Conv,/model.16/cv1/conv/Conv,/model.17/conv/Conv,/model.2/cv2/conv/Conv,/model.23/cv2.0/cv2.0.0/conv/Conv,/model.23/cv4.0/cv4.0.0/conv/Conv,/model.23/proto/cv1/conv/Conv,/model.23/proto/cv2/conv/Conv,/model.23/proto/upsample/ConvTranspose,/model.3/conv/Conv,/model.4/cv2/conv/Conv,/model.5/conv/Conv,output0,output1
0,0,1,0,1,1,1,1,0,0,1,0,49.232391357421875,0.5182937383651733
0,0,0,1,1,0,0,0,0,1,1,1,106.2835464477539,0.5249854922294617
0,0,0,0,1,1,0,1,0,1,0,1,80.70668029785156,0.4645906388759613
1,0,0,0,0,0,1,0,0,0,1,0,258.1651916503906,2.029913902282715
1,0,0,0,1,0,0,0,1,1,1,0,261.1891174316406,2.1025075912475586
0,1,1,0,0,1,0,1,1,0,1,0,68.64903259277344,0.5822435021400452
1,0,1,0,0,0,1,0,0,0,0,1,260.0157775878906,2.0620155334472656
1,1,1,0,1,0,1,0,0,0,0,1,260.8878173828125,2.0759987831115723
0,0,1,0,1,0,0,1,0,1,1,1,95.03076171875,0.4934108853340149
1,0,0,0,1,1,1,0,1,0,1,0,258.1651916503906,2.055945873260498
0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.1971823275089264
1,1,1,1,1,1,1,0,0,1,0,0,255.24142456054688,2.0702662467956543
0,0,0,1,1,1,0,1,1,0,1,1,89.16761779785156,0.5462979674339294
0,1,1,0,1,1,0,0,0,0,1,1,75.81230163574219,0.5278711915016174
0,0,1,0,1,0,0,1,0,0,1,0,49.232391357421875,0.24917587637901306
0,0,0,0,1,1,1,0,0,0,0,1,69.31320190429688,0.507256269454956
1,0,0,1,0,1,1,1,1,1,1,0,257.55682373046875,2.105984926223755
0,0,1,0,0,1,1,0,1,1,1,0,87.34336853027344,0.5265576839447021
0,0,1,0,0,0,1,1,1,0,1,0,49.162513732910156,0.5645042657852173
1,1,0,0,1,0,1,1,0,1,0,0,258.8044738769531,2.102254629135132
0,0,0,0,0,1,1,0,0,1,0,1,80.70668029785156,0.5435897707939148
1,0,1,0,1,1,0,0,0,0,0,1,260.0157775878906,2.070235013961792
1,0,0,0,0,0,1,1,1,0,0,0,257.06854248046875,2.0891690254211426
1,0,1,1,1,1,1,1,1,1,1,0,257.0970764160156,2.105984926223755
1,0,0,0,1,0,0,0,1,1,0,0,259.768310546875,2.100822687149048
0,0,1,0,1,1,0,1,0,0,0,1,73.39122009277344,0.3982298970222473
0,1,1,1,1,0,1,1,1,0,1,0,99.6163101196289,0.7779616117477417
0,1,0,0,0,0,0,0,1,0,1,1,79.20509338378906,0.5757675766944885
1,1,0,0,1,0,0,0,1,1,0,1,261.7867126464844,2.1587769985198975
0,0,1,0,0,1,1,1,1,1,1,0,87.34336853027344,0.5937435030937195
1,1,0,0,0,1,1,0,1,0,1,0,260.75469970703125,2.1047158241271973
0,1,1,0,0,1,0,1,1,1,0,0,79.26348114013672,0.5677865743637085
0,0,0,1,1,1,0,1,0,0,0,0,65.36270904541016,0.34596842527389526
0,1,1,1,0,0,1,0,0,1,0,1,101.61167907714844,0.7086190581321716
0,0,1,1,0,0,1,0,0,0,0,0,71.11225128173828,0.45625895261764526
0,1,1,0,1,1,0,0,1,1,0,1,87.22149658203125,0.5866357684135437
1,0,1,0,0,1,0,1,1,0,0,0,257.40643310546875,2.1180336475372314
1,0,0,0,0,0,1,1,0,0,1,1,263.09393310546875,2.0876994132995605
0,0,1,1,0,1,1,1,0,1,0,0,102.3648681640625,0.5731490850448608
0,0,1,0,0,1,1,0,1,1,1,1,95.03076171875,0.616653323173523
0,0,1,1,0,0,1,1,0,0,0,0,71.11225128173828,0.5307875871658325
1,1,1,1,1,1,1,1,1,0,0,0,258.7112731933594,2.178941488265991
1,0,0,0,1,1,0,0,0,1,0,1,262.470703125,2.0787193775177
0,0,0,0,0,0,1,1,0,0,1,0,41.12862014770508,0.5182937383651733
0,1,1,0,0,0,1,0,0,0,0,0,46.96516036987305,0.6321056485176086
1,0,0,0,1,0,1,0,0,0,1,0,258.1651916503906,2.029913902282715
0,1,0,1,1,1,0,1,1,1,1,0,106.88874816894531,0.644781768321991
1,0,1,1,1,0,1,0,0,1,1,0,257.0970764160156,2.0490474700927734
0,0,1,1,0,1,1,0,1,1,1,0,100.0103759765625,0.5694993734359741
0,0,1,1,1,1,1,1,1,0,1,1,92.48139953613281,0.6540499329566956
1,0,1,1,1,0,0,1,0,1,0,1,257.87835693359375,2.099870443344116
1,1,0,1,0,1,1,0,0,1,0,1,258.7949523925781,2.088653087615967
0,0,1,0,0,0,1,0,0,0,1,0,49.162513732910156,0.44752320647239685
0,0,1,1,1,1,1,1,0,1,1,1,107.99217224121094,0.6400983333587646
1,1,1,1,0,1,1,0,1,1,1,1,262.03436279296875,2.087810516357422
