/model.1/conv/Conv,/model.16/cv1/conv/Conv,/model.17/conv/Conv,/model.2/cv2/conv/Conv,/model.23/cv2.0/cv2.0.0/conv/Conv,/model.23/cv4.0/cv4.0.0/conv/Conv,/model.23/proto/cv1/conv/Conv,/model.23/proto/cv2/conv/Conv,/model.23/proto/upsample/ConvTranspose,/model.3/conv/Conv,/model.4/cv2/conv/Conv,/model.5/conv/Conv,output0,output1
0,0,0,1,0,0,1,0,1,0,0,1,456.745361328125,50.03522491455078
0,0,1,0,1,1,1,1,0,0,1,0,584.1251831054688,42.94928741455078
0,0,0,1,1,0,0,0,0,1,1,1,786.2728271484375,38.51530456542969
0,0,0,0,1,1,0,1,0,1,0,1,697.584228515625,38.42146682739258
1,0,0,0,0,0,1,0,0,0,1,0,2481.268310546875,203.04541015625
1,0,0,0,1,0,0,0,1,1,1,0,2628.98046875,204.59683227539062
0,1,1,0,0,1,0,1,1,0,1,0,369.3260803222656,47.934730529785156
1,0,1,0,0,0,1,0,0,0,0,1,2576.760009765625,204.63037109375
1,1,1,0,1,0,1,0,0,0,0,1,2688.153564453125,205.7620391845703
0,0,1,0,1,0,0,1,0,1,1,1,762.1282958984375,41.62943649291992
1,0,0,0,1,1,1,0,1,0,1,0,2562.45751953125,203.78636169433594
0,0,0,0,0,0,0,0,1,0,0,0,0.0,17.87057876586914
1,1,1,1,1,1,1,0,0,1,0,0,2606.2998046875,205.1421661376953
0,0,0,1,1,1,0,1,1,0,1,1,727.7887573242188,44.119022369384766
0,1,1,0,1,1,0,0,0,0,1,1,713.20361328125,45.81502151489258
0,0,1,0,1,0,0,1,0,0,1,0,584.0650634765625,26.073406219482422
0,0,0,0,1,1,1,0,0,0,0,1,623.370361328125,41.93822479248047
1,0,0,1,0,1,1,1,1,1,1,0,2494.62060546875,206.7826385498047
0,0,1,0,0,1,1,0,1,1,1,0,394.0121765136719,45.57735824584961
0,0,1,0,0,0,1,1,1,0,1,0,231.5008544921875,46.411842346191406
1,1,0,0,1,0,1,1,0,1,0,0,2638.16748046875,207.1988067626953
0,0,0,0,0,1,1,0,0,1,0,1,476.53533935546875,46.139488220214844
1,0,1,0,1,1,0,0,0,0,0,1,2649.903076171875,201.2137908935547
1,0,0,0,0,0,1,1,1,0,0,0,2478.19189453125,204.2657012939453
1,0,1,1,1,1,1,1,1,1,1,0,2579.646728515625,206.7826385498047
1,0,0,0,1,0,0,0,1,1,0,0,2597.874267578125,203.76846313476562
0,0,1,0,1,1,0,1,0,0,0,1,640.1627197265625,33.07023239135742
0,1,1,1,1,0,1,1,1,0,1,0,735.4326782226562,62.351402282714844
0,1,0,0,0,0,0,0,1,0,1,1,489.10211181640625,50.13178253173828
1,1,0,0,1,0,0,0,1,1,0,1,2721.411865234375,208.34817504882812
0,0,1,0,0,1,1,1,1,1,1,0,394.0121765136719,50.4136962890625
1,1,0,0,0,1,1,0,1,0,1,0,2510.0048828125,204.41049194335938
0,1,1,0,0,1,0,1,1,1,0,0,427.016357421875,50.58824157714844
0,0,0,1,1,1,0,1,0,0,0,0,637.608642578125,29.602182388305664
0,1,1,1,0,0,1,0,0,1,0,1,631.2530517578125,63.423179626464844
0,0,1,1,0,0,1,0,0,0,0,0,339.3288879394531,39.41779708862305
0,1,1,0,1,1,0,0,1,1,0,1,759.84619140625,52.92185592651367
1,0,1,0,0,1,0,1,1,0,0,0,2479.8154296875,202.50140380859375
1,0,0,0,0,0,1,1,0,0,1,1,2564.03271484375,206.7070770263672
0,0,1,1,0,1,1,1,0,1,0,0,450.1021423339844,48.645179748535156
0,0,1,0,0,1,1,0,1,1,1,1,558.454833984375,52.310211181640625
0,0,1,1,0,0,1,1,0,0,0,0,339.3288879394531,45.164764404296875
1,1,1,1,1,1,1,1,1,0,0,0,2646.437744140625,208.3922576904297
1,0,0,0,1,1,0,0,0,1,0,1,2684.370849609375,204.4966583251953
0,0,0,0,0,0,1,1,0,0,1,0,193.72923278808594,42.94928741455078
0,1,1,0,0,0,1,0,0,0,0,0,327.80535888671875,49.98778533935547
1,0,0,0,1,0,1,0,0,0,1,0,2562.4375,203.04541015625
0,1,0,1,1,1,0,1,1,1,1,0,773.0755615234375,55.03858184814453
1,0,1,1,1,0,1,0,0,1,1,0,2579.62646484375,204.59117126464844
0,0,1,1,0,1,1,0,1,1,1,0,470.5857849121094,48.47458267211914
0,0,1,1,1,1,1,1,1,0,1,1,739.9013671875,55.96503448486328
1,0,1,1,1,0,0,1,0,1,0,1,2629.716796875,204.1441650390625
1,1,0,1,0,1,1,0,0,1,0,1,2586.21533203125,207.0810546875
0,0,1,0,0,0,1,0,0,0,1,0,231.5008544921875,36.758079528808594
0,0,1,1,1,1,1,1,0,1,1,1,801.2771606445312,56.02781295776367
1,1,1,1,0,1,1,0,1,1,1,1,2597.630615234375,207.6886444091797
1,0,0,0,1,0,0,0,0,0,1,0,2562.4375,199.4094696044922
1,1,0,1,1,1,1,1,0,0,0,0,2645.00830078125,207.60595703125
0,1,1,0,0,0,1,1,0,0,0,0,327.80535888671875,54.31543731689453
1,1,1,1,0,0,0,0,0,1,0,1,2587.149658203125,203.7483673095703
0,1,0,1,0,1,0,0,0,1,0,1,608.146484375,53.20146560668945
0,1,0,1,0,1,1,1,1,1,0,0,503.5997009277344,63.852943420410156
1,0,1,1,1,1,0,1,1,1,1,0,2579.646728515625,205.0865020751953
0,1,1,1,1,0,0,0,0,1,0,0,781.8810424804688,45.70146179199219
1,0,0,1,0,1,1,1,0,1,1,0,2494.62060546875,205.98501586914062
1,0,1,0,0,0,1,0,0,1,1,1,2640.8173828125,208.3674774169922
1,1,0,0,1,0,0,0,1,1,1,0,2657.163818359375,205.36923217773438
0,1,0,1,0,0,0,1,0,1,0,0,503.53887939453125,50.492523193359375
1,0,0,0,0,0,0,0,0,1,0,0,2515.344970703125,201.35646057128906
0,1,0,1,0,0,0,1,1,1,0,1,608.1014404296875,60.7162971496582
0,0,0,0,1,0,1,1,1,0,0,0,531.3406372070312,44.45262145996094
0,0,0,0,1,0,1,0,0,1,0,0,613.50537109375,38.99608612060547
0,0,1,1,1,0,0,1,0,1,1,1,801.2380981445312,44.66014862060547
1,1,1,0,1,0,1,0,0,0,0,0,2600.415771484375,203.13571166992188
0,0,1,1,1,0,1,0,1,0,1,0,679.29931640625,45.17963790893555
1,0,0,1,1,0,0,0,0,0,1,1,2701.165771484375,205.4657440185547
1,0,0,1,1,1,1,0,0,1,0,1,2627.0888671875,205.9132080078125
1,0,1,1,1,0,1,0,1,0,0,1,2661.279541015625,207.6586151123047
1,1,1,0,0,0,1,0,0,1,0,0,2554.868408203125,205.90518188476562
1,0,1,0,1,0,0,1,1,1,0,0,2599.337646484375,205.20199584960938
1,1,1,1,0,1,0,0,0,1,0,0,2525.940673828125,201.84054565429688
0,1,1,1,1,1,1,1,0,1,0,1,827.2222900390625,66.83396911621094
0,1,0,1,1,1,1,1,1,0,0,1,749.4267578125,66.35477447509766
0,1,1,1,1,1,1,0,1,0,1,0,735.4754638671875,58.83574676513672
1,1,0,1,0,1,0,0,1,0,0,0,2559.96044921875,205.500244140625
0,0,1,1,1,1,1,1,1,0,0,1,716.040771484375,54.56714630126953
0,1,0,0,0,0,0,0,0,1,0,1,537.9029541015625,48.72465133666992
1,1,1,1,0,1,0,1,1,0,1,1,2656.311767578125,209.9095916748047
1,1,1,0,1,1,0,0,0,0,1,1,2666.7041015625,202.31820678710938
0,0,1,1,0,1,0,1,0,0,1,1,519.2220458984375,40.21305465698242
1,0,0,1,1,0,0,1,1,1,1,1,2638.69921875,206.4729766845703
1,0,0,1,0,1,1,0,0,1,0,0,2492.814208984375,204.17941284179688
1,0,0,1,0,1,1,1,1,1,0,1,2554.341552734375,208.08932495117188
1,0,0,1,0,0,1,1,0,1,1,1,2565.17431640625,207.269287109375
0,1,1,1,0,0,0,1,0,0,0,0,446.502685546875,46.5562629699707
1,0,0,1,0,1,0,0,0,0,1,1,2623.466552734375,205.4657440185547
0,1,1,1,1,1,0,0,0,1,0,1,827.2222900390625,53.20146560668945
1,1,1,1,0,0,1,1,1,0,1,1,2656.29443359375,211.45266723632812
1,0,0,1,0,1,0,1,1,0,0,1,2582.123046875,207.46340942382812
0,1,0,0,0,0,0,0,1,1,0,1,537.9029541015625,52.92185592651367
0,0,0,0,0,0,0,1,0,0,0,1,372.9104309082031,33.07023239135742
1,1,0,1,1,0,0,0,1,0,0,1,2700.400634765625,207.08877563476562
1,1,1,0,0,0,1,0,0,0,0,0,2518.326171875,203.13571166992188
1,0,0,1,0,0,0,1,0,0,0,1,2582.103515625,205.0227813720703
1,1,0,1,1,1,1,0,1,0,1,0,2653.75537109375,208.24526977539062
0,0,1,1,0,0,1,1,1,1,1,0,470.510986328125,53.06013107299805
1,1,1,1,1,0,1,0,0,1,0,0,2606.281982421875,205.1421661376953
0,1,0,1,0,1,0,0,1,1,1,1,625.5669555664062,57.5246467590332
0,1,0,1,0,0,0,1,1,0,0,0,417.08319091796875,50.40007781982422
0,1,1,1,0,1,1,1,0,0,0,0,446.573486328125,58.00336456298828
1,0,0,0,0,0,0,0,0,0,0,1,2576.51904296875,201.2137908935547
1,1,0,1,0,0,0,1,1,0,1,0,2567.068603515625,207.87857055664062
1,0,0,0,0,0,0,0,1,0,0,1,2576.51904296875,203.68405151367188
1,0,1,0,0,1,1,0,1,0,0,1,2576.778076171875,205.34609985351562
1,1,0,1,0,1,1,1,1,0,1,0,2567.08837890625,209.4635772705078
1,1,1,0,1,0,1,0,0,0,1,0,2593.414794921875,203.59523010253906
1,1,0,0,1,0,0,1,1,0,0,1,2688.49072265625,206.3017120361328
0,0,1,1,0,0,1,1,0,1,0,1,577.1761474609375,55.23566818237305
0,1,0,1,0,0,1,0,0,0,0,1,526.335693359375,59.89369583129883
1,1,1,0,1,1,1,1,0,1,1,0,2656.415771484375,207.6013946533203
1,1,0,0,0,1,1,1,1,1,1,0,2573.796875,208.3657684326172
1,1,0,0,0,1,1,1,1,1,1,1,2665.8046875,211.3482208251953
0,1,0,1,1,1,1,0,1,0,0,0,702.562744140625,57.41656494140625
1,1,1,0,0,0,0,0,0,1,0,0,2554.868408203125,202.38742065429688
0,1,1,0,1,1,0,1,0,1,1,1,799.3360595703125,55.646217346191406
0,0,1,1,0,1,1,1,1,0,0,1,480.29608154296875,54.56714630126953
0,0,1,0,1,0,1,1,1,0,0,0,551.1517333984375,44.45262145996094
0,0,0,0,1,1,0,0,0,1,0,0,613.5618286132812,18.867231369018555
1,0,1,1,0,1,1,1,1,1,0,1,2557.1357421875,208.08932495117188
0,1,0,1,0,0,1,1,1,0,1,1,559.2330322265625,67.60700988769531
0,1,0,0,1,0,0,0,0,1,0,1,746.3175048828125,48.72465133666992
0,1,1,1,0,0,1,1,1,1,1,0,540.9366455078125,64.7751693725586
1,0,0,1,0,1,0,0,0,1,0,1,2554.341552734375,202.6520538330078
0,1,0,0,1,0,1,0,1,0,1,0,641.3411865234375,55.18540573120117
1,1,0,1,1,0,0,0,0,0,1,1,2733.697509765625,205.91860961914062
0,0,1,1,1,1,0,1,0,1,0,1,779.5579223632812,43.758602142333984
0,0,0,1,1,0,1,1,1,0,0,1,700.2554931640625,54.56714630126953
0,0,0,0,1,0,1,0,0,0,0,1,623.3182983398438,41.93822479248047
0,0,1,0,0,1,0,0,0,0,0,0,142.01370239257812,0.0
1,1,1,1,1,0,1,1,1,1,0,0,2606.281982421875,207.3589324951172
1,0,1,0,1,1,0,1,0,1,0,1,2682.9736328125,205.96926879882812
0,1,1,1,1,1,1,0,0,0,0,0,720.5811767578125,54.0339469909668
0,1,0,0,1,0,1,1,0,0,0,0,613.2061157226562,54.31543731689453
1,1,0,0,0,0,1,0,0,1,1,1,2665.788330078125,209.23953247070312
1,1,0,1,0,0,1,1,0,0,1,0,2567.068603515625,208.6556396484375
1,0,0,0,0,0,1,1,1,1,1,1,2639.888671875,210.44033813476562
1,0,1,1,0,1,0,0,1,1,0,1,2557.1357421875,205.1890869140625
1,0,0,1,1,1,0,1,0,1,0,1,2627.0888671875,204.1441650390625
0,1,1,0,1,0,0,0,1,1,0,1,759.8106689453125,52.92185592651367
0,0,0,1,1,1,0,0,1,1,0,0,700.22412109375,32.241275787353516
1,0,0,1,0,0,0,1,1,1,0,0,2492.79345703125,204.82369995117188
0,1,0,1,1,1,0,0,0,1,1,1,821.6568603515625,53.778175354003906
0,1,1,0,1,1,0,1,1,1,0,0,695.8433227539062,50.58824157714844
1,1,0,0,0,1,0,1,1,1,0,0,2555.1044921875,206.2606964111328
0,1,0,0,1,1,1,1,1,0,1,1,699.8020629882812,64.30099487304688
0,1,0,1,0,1,1,0,0,0,0,0,417.15911865234375,54.0339469909668
0,1,1,1,0,0,0,0,1,1,1,0,540.9366455078125,50.856014251708984
1,0,0,0,1,0,1,1,1,0,0,0,2559.676025390625,204.2657012939453
1,0,0,1,0,0,0,0,1,0,1,1,2623.44775390625,208.018798828125
0,1,1,1,0,1,1,0,0,0,1,1,574.4301147460938,61.26374053955078
1,0,1,0,0,0,1,0,1,0,1,0,2482.6181640625,203.78636169433594
1,1,0,0,1,0,0,1,0,1,1,0,2657.163818359375,204.0608367919922
1,0,0,0,0,0,0,1,1,1,0,1,2608.622802734375,208.43850708007812
0,1,0,1,0,0,1,0,0,1,1,1,625.5230712890625,64.01768493652344
0,0,0,1,0,1,0,0,0,1,1,0,444.8799743652344,29.0927791595459
0,1,1,0,1,0,1,1,1,1,0,1,759.8106689453125,66.1748046875
0,0,0,0,0,0,1,0,1,0,0,1,372.9104309082031,45.76228332519531
1,1,1,0,1,1,1,1,1,0,0,0,2600.43408203125,205.1920928955078
1,0,0,0,1,1,1,0,1,1,0,0,2597.893798828125,205.48263549804688
0,1,1,1,0,0,1,1,1,1,0,0,532.000732421875,63.852943420410156
0,0,1,1,1,1,0,0,0,0,1,0,679.3512573242188,22.526254653930664
0,1,0,0,0,0,1,1,1,0,0,0,290.4772033691406,57.47196578979492
0,1,0,1,0,0,1,0,0,1,1,0,516.4398803710938,58.30230712890625
0,0,1,0,0,1,0,0,0,0,1,0,231.65621948242188,12.916438102722168
