/model.1/conv/Conv,/model.16/cv1/conv/Conv,/model.23/cv2.0/cv2.0.0/conv/Conv,/model.23/cv2.0/cv2.0.1/conv/Conv,/model.23/cv2.1/cv2.1.0/conv/Conv,/model.23/cv4.0/cv4.0.0/conv/Conv,/model.23/proto/cv1/conv/Conv,/model.23/proto/cv2/conv/Conv,/model.23/proto/upsample/ConvTranspose,/model.3/conv/Conv,/model.5/conv/Conv,/model.7/conv/Conv,output0,output1
0,0,0,0,1,1,0,1,0,1,0,1,126.92036437988281,0.6556318998336792
1,0,0,0,0,0,1,0,0,0,1,0,282.31671142578125,1.6190145015716553
1,0,0,0,1,0,0,0,1,1,1,0,286.9689636230469,1.6235431432724
0,1,1,0,0,1,0,1,1,0,1,0,102.87916564941406,0.6694164276123047
1,0,1,0,0,0,1,0,0,0,0,1,286.48223876953125,1.5886104106903076
1,1,1,0,1,0,1,0,0,0,0,1,288.77703857421875,1.6493794918060303
0,0,1,0,1,0,0,1,0,1,1,1,154.29983520507812,0.7779137492179871
1,0,0,0,1,1,1,0,1,0,1,0,281.9142150878906,1.634531021118164
0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.2116851806640625
1,1,1,1,1,1,1,0,0,1,0,0,293.94561767578125,1.6489086151123047
0,0,0,1,1,1,0,1,1,0,1,1,96.60369873046875,0.5835305452346802
0,1,1,0,1,1,0,0,0,0,1,1,99.82195281982422,0.632769763469696
0,0,1,0,1,0,0,1,0,0,1,0,99.35421752929688,0.5018587112426758
0,0,0,0,1,1,1,0,0,0,0,1,53.27338790893555,0.48290348052978516
1,0,0,1,0,1,1,1,1,1,1,0,287.0718994140625,1.666749358177185
0,0,1,0,0,1,1,0,1,1,1,0,158.3970947265625,0.7810437679290771
0,0,1,0,0,0,1,1,1,0,1,0,99.35421752929688,0.6640763878822327
1,1,0,0,1,0,1,1,0,1,0,0,293.94561767578125,1.6974960565567017
0,0,0,0,0,1,1,0,0,1,0,1,126.9654312133789,0.6636388897895813
1,0,1,0,1,1,0,0,0,0,0,1,286.1168212890625,1.5500916242599487
1,0,0,0,0,0,1,1,1,0,0,0,284.1221008300781,1.6231319904327393
1,0,1,1,1,1,1,1,1,1,1,0,286.9689636230469,1.666749358177185
1,0,0,0,1,0,0,0,1,1,0,0,291.98736572265625,1.6106971502304077
0,0,1,0,1,1,0,1,0,0,0,1,53.27338790893555,0.36313575506210327
0,1,1,1,1,0,1,1,1,0,1,0,102.972900390625,0.794757068157196
0,1,0,0,0,0,0,0,1,0,1,1,99.71979522705078,0.6510522365570068
1,1,0,0,1,0,0,0,1,1,0,1,293.10272216796875,1.6820465326309204
0,0,1,0,0,1,1,1,1,1,1,0,158.3970947265625,0.8407536745071411
1,1,0,0,0,1,1,0,1,0,1,0,285.88128662109375,1.6949474811553955
0,1,1,0,0,1,0,1,1,1,0,0,141.93392944335938,0.8441146612167358
0,0,0,1,1,1,0,1,0,0,0,0,22.542430877685547,0.29954999685287476
0,1,1,1,0,0,1,0,0,1,0,1,128.82554626464844,0.817761242389679
0,0,1,1,0,0,1,0,0,0,0,0,15.962356567382812,0.4433882236480713
0,1,1,0,1,1,0,0,1,1,0,1,129.07785034179688,0.7546719908714294
1,0,1,0,0,1,0,1,1,0,0,0,284.1221008300781,1.6192858219146729
1,0,0,0,0,0,1,1,0,0,1,1,282.84027099609375,1.6922088861465454
0,0,1,1,0,1,1,1,0,1,0,0,142.5595245361328,0.766405463218689
0,0,1,0,0,1,1,0,1,1,1,1,154.29983520507812,0.7999180555343628
0,0,1,1,0,0,1,1,0,0,0,0,15.962356567382812,0.5773984789848328
1,1,1,1,1,1,1,1,1,0,0,0,288.2351989746094,1.6716506481170654
1,0,0,0,1,1,0,0,0,1,0,1,293.9713134765625,1.5813251733779907
0,0,0,0,0,0,1,1,0,0,1,0,99.35421752929688,0.643641471862793
0,1,1,0,0,0,1,0,0,0,0,0,41.37047576904297,0.6320361495018005
