/model.1/conv/Conv,/model.16/cv1/conv/Conv,/model.23/cv2.0/cv2.0.0/conv/Conv,/model.23/cv2.0/cv2.0.1/conv/Conv,/model.23/cv2.1/cv2.1.0/conv/Conv,/model.23/cv4.0/cv4.0.0/conv/Conv,/model.23/proto/cv1/conv/Conv,/model.23/proto/cv2/conv/Conv,/model.23/proto/upsample/ConvTranspose,/model.3/conv/Conv,/model.5/conv/Conv,/model.7/conv/Conv,output0,output1
0,0,0,0,1,1,1,0,1,0,1,1,0.000493421801365912,7.001560879871249e-05
1,1,1,1,1,0,1,0,0,0,1,1,0.0019720301497727633,0.00018898918642662466
0,1,0,1,1,0,1,1,0,0,0,1,0.0004962055245414376,9.308562584919855e-05
0,1,1,1,0,0,0,0,0,0,0,1,0.0005161837907508016,5.4163352615432814e-05
0,0,0,0,1,0,0,0,0,0,0,0,0.00019477843306958675,0.0
1,1,1,0,1,0,1,1,0,0,1,0,0.0019859331659972668,0.00019443643395788968
1,1,0,0,1,0,0,0,0,0,1,0,0.001965869218111038,0.0001775176788214594
1,0,0,0,0,1,0,0,1,0,0,0,0.0019063495565205812,0.0001706247276160866
0,1,1,0,0,1,0,0,1,1,1,0,0.0009930203668773174,9.153816063189879e-05
1,1,0,1,0,0,1,1,0,1,0,0,0.002066221321001649,0.00019866132060997188
0,0,1,1,1,0,0,1,0,0,0,1,0.0003930608800146729,4.344890112406574e-05
1,1,1,0,1,1,1,1,1,1,1,1,0.0019905981607735157,0.00019094625895377249
0,0,0,1,1,1,0,0,0,0,0,0,0.0002444815472699702,0.0
1,0,1,0,0,1,0,0,1,0,0,1,0.0019228061428293586,0.000170387007528916
0,1,1,0,1,1,0,1,0,1,0,0,0.0009438122506253421,9.225687972502783e-05
0,1,0,1,0,0,1,0,0,0,1,0,0.0005612534005194902,8.784302190179005e-05
1,1,1,0,1,0,1,1,1,0,0,1,0.0019668538589030504,0.00019371864618733525
1,0,0,1,0,1,1,0,1,0,0,1,0.0019161521922796965,0.00017976283561438322
1,1,1,1,0,0,1,0,1,0,0,1,0.0019705446902662516,0.00018859640113078058
0,0,1,0,1,1,0,1,1,1,1,1,0.0009394808439537883,8.660656021675095e-05
0,0,0,1,1,1,1,1,0,1,1,1,0.0009227383998222649,0.0001026871832436882
1,0,1,0,1,1,0,0,1,0,1,0,0.0019581476226449013,0.00017234680126421154
0,0,1,0,0,1,0,1,1,1,1,1,0.0009182199719361961,8.660656021675095e-05
1,0,1,1,0,1,1,1,0,1,1,0,0.0019843734335154295,0.00018063970492221415
0,1,0,1,0,1,0,1,0,0,0,1,0.00045317100011743605,6.850668432889506e-05
1,1,0,0,1,0,0,1,1,0,1,1,0.0019383181352168322,0.00018396276573184878
0,1,0,0,1,0,0,1,1,1,0,1,0.0008741160854697227,9.434982348466292e-05
1,0,0,1,1,0,0,1,1,0,1,1,0.001921862130984664,0.00017662890604697168
0,1,1,1,0,1,0,0,0,0,1,0,0.0006102306651882827,6.1022125009913e-05
0,0,0,0,0,0,0,1,1,0,0,1,0.00020266507635824382,4.8836365749593824e-05
0,0,1,1,0,1,0,0,0,0,0,0,0.0002765179960988462,0.0
1,0,1,1,0,0,0,1,1,1,0,0,0.0020627309568226337,0.00018188856483902782
0,1,1,1,1,1,1,0,0,0,1,1,0.0006605192902497947,8.87269270606339e-05
0,0,1,1,0,1,1,1,0,1,1,0,0.000930103356949985,0.0001019345800159499
1,0,1,1,0,1,1,0,1,1,1,0,0.0019843734335154295,0.00017672676767688245
0,1,0,1,0,1,1,1,1,1,0,1,0.0008630377124063671,0.0001137776198447682
0,0,0,1,1,1,1,0,0,1,0,0,0.0008214195258915424,8.510820771334693e-05
1,0,0,0,1,0,1,1,1,1,1,1,0.0019482426578179002,0.00018144874775316566
1,0,0,1,1,0,1,1,1,1,1,1,0.0019629376474767923,0.00018144874775316566
1,0,1,1,1,0,0,0,1,1,1,1,0.0019871224649250507,0.00016716508253011853
0,0,1,0,0,0,0,0,1,0,1,0,0.000480601389426738,4.003737194580026e-05
1,1,1,1,1,0,1,1,0,0,0,1,0.001980325672775507,0.0001927860575960949
0,0,0,1,0,0,0,0,0,0,1,1,0.00047201738925650716,3.502305116853677e-05
1,0,0,0,1,1,1,1,1,1,1,1,0.0019482424249872565,0.00018144874775316566
0,0,1,0,1,0,1,1,0,1,1,0,0.0009297719225287437,0.0001019345800159499
1,0,0,0,0,0,1,1,1,0,0,1,0.0019022331107407808,0.00018476610421203077
0,0,0,0,0,0,0,0,1,1,0,1,0.0007402440533041954,6.62597522023134e-05
1,1,0,0,0,0,0,0,1,1,1,0,0.001963761169463396,0.00017509465396869928
0,1,1,1,0,0,1,1,0,1,1,0,0.0010092122247442603,0.00011799354251706973
0,0,1,0,1,0,1,0,0,0,1,0,0.000523813592735678,6.578468310181051e-05
0,0,1,1,1,0,1,1,1,1,1,0,0.0009515018318779767,0.00010382182517787442
0,0,0,1,0,1,1,0,0,1,0,1,0.0007609635358676314,8.448954031337053e-05
1,0,1,0,0,0,0,0,1,0,1,1,0.0019212070619687438,0.00017199300054926425
0,1,1,1,1,1,1,1,1,1,0,1,0.0009348234161734581,0.0001137776198447682
0,1,0,1,0,0,0,1,0,1,0,1,0.0008630045922473073,9.159011824522167e-05
0,1,0,0,0,1,0,0,1,0,0,0,0.00038173460052348673,5.636882269755006e-05
1,0,0,1,1,0,1,0,0,1,0,0,0.002045534085482359,0.00018450692004989833
1,0,1,0,0,1,0,1,0,1,1,1,0.001961412373930216,0.00017036733333952725
0,0,1,1,1,1,1,1,1,0,1,0,0.0005475146463140845,8.074713696260005e-05
0,0,0,1,0,0,1,0,1,0,0,1,0.00025042769266292453,6.129940447863191e-05
0,0,1,0,1,1,1,1,0,0,1,0,0.000523872789926827,7.838460442144424e-05
0,0,0,1,1,0,0,0,0,1,1,1,0.000922717503271997,7.247666508192196e-05
0,0,0,0,1,1,0,1,0,1,0,1,0.0007695924141444266,7.43639247957617e-05
1,0,0,0,0,0,1,0,0,0,1,0,0.0019304672023281455,0.00018022452422883362
1,0,0,0,1,0,0,0,1,1,1,0,0.0019528934499248862,0.00016751854855101556
0,1,1,0,0,1,0,1,1,0,1,0,0.0005929077742621303,7.72066559875384e-05
1,0,1,0,0,0,1,0,0,0,0,1,0.001922804513014853,0.0001783419429557398
1,1,1,0,1,0,1,0,0,0,0,1,0.0019668538589030504,0.00018749578157439828
