/model.1/conv/Conv,/model.16/cv1/conv/Conv,/model.23/cv2.0/cv2.0.0/conv/Conv,/model.23/cv2.0/cv2.0.1/conv/Conv,/model.23/cv2.1/cv2.1.0/conv/Conv,/model.23/cv4.0/cv4.0.0/conv/Conv,/model.23/proto/cv1/conv/Conv,/model.23/proto/cv2/conv/Conv,/model.23/proto/upsample/ConvTranspose,/model.3/conv/Conv,/model.5/conv/Conv,/model.7/conv/Conv,output0,output1
0,1,0,0,0,1,0,0,1,0,0,0,43.67698287963867,25.16017723083496
1,0,0,1,1,0,1,0,0,1,0,0,32.4982795715332,15.960821151733398
1,0,1,0,0,1,0,1,0,1,1,1,32.75886917114258,16.563404083251953
0,0,1,1,1,1,1,1,1,0,1,0,41.7884635925293,21.85464859008789
0,0,0,1,0,0,1,0,1,0,0,1,48.75429153442383,24.36666488647461
0,0,1,0,1,1,1,1,0,0,1,0,42.536373138427734,22.11835289001465
0,0,0,1,1,0,0,0,0,1,1,1,38.78479766845703,24.12400245666504
0,0,0,0,1,1,0,1,0,1,0,1,40.712158203125,23.204254150390625
1,0,0,0,0,0,1,0,0,0,1,0,33.485538482666016,16.189449310302734
1,0,0,0,1,0,0,0,1,1,1,0,33.0722770690918,16.90078353881836
0,1,1,0,0,1,0,1,1,0,1,0,40.72855758666992,22.33687400817871
1,0,1,0,0,0,1,0,0,0,0,1,33.214351654052734,16.353025436401367
1,1,1,0,1,0,1,0,0,0,0,1,32.69009780883789,15.644885063171387
0,0,1,0,1,0,0,1,0,1,1,1,38.30805206298828,22.208879470825195
1,0,0,0,1,1,1,0,1,0,1,0,33.34765625,16.089122772216797
0,0,0,0,0,0,0,0,1,0,0,0,196.7636260986328,33.03120422363281
1,1,1,1,1,1,1,0,0,1,0,0,31.784841537475586,15.29401969909668
0,0,0,1,1,1,0,1,1,0,1,1,43.31058120727539,24.84731674194336
0,1,1,0,1,1,0,0,0,0,1,1,39.98379135131836,24.40926742553711
0,0,1,0,1,0,0,1,0,0,1,0,42.793094635009766,25.704952239990234
0,0,0,0,1,1,1,0,0,0,0,1,49.30309295654297,24.986087799072266
1,0,0,1,0,1,1,1,1,1,1,0,32.936424255371094,15.69488525390625
0,0,1,0,0,1,1,0,1,1,1,0,38.6482048034668,20.874767303466797
0,0,1,0,0,0,1,1,1,0,1,0,43.67346954345703,21.85464859008789
1,1,0,0,1,0,1,1,0,1,0,0,32.27528381347656,14.941487312316895
0,0,0,0,0,1,1,0,0,1,0,1,41.299522399902344,21.899038314819336
1,0,1,0,1,1,0,0,0,0,0,1,33.0767707824707,17.365947723388672
1,0,0,0,0,0,1,1,1,0,0,0,33.673152923583984,15.835347175598145
1,0,1,1,1,1,1,1,1,1,1,0,32.46931457519531,15.69488525390625
1,0,0,0,1,0,0,0,1,1,0,0,32.69841384887695,16.66788673400879
0,0,1,0,1,1,0,1,0,0,0,1,44.443565368652344,27.171283721923828
0,1,1,1,1,0,1,1,1,0,1,0,39.922210693359375,20.080093383789062
0,1,0,0,0,0,0,0,1,0,1,1,41.822792053222656,23.817808151245117
1,1,0,0,1,0,0,0,1,1,0,1,32.220436096191406,15.981695175170898
0,0,1,0,0,1,1,1,1,1,1,0,38.6482048034668,19.903751373291016
1,1,0,0,0,1,1,0,1,0,1,0,33.02088928222656,15.445009231567383
0,1,1,0,0,1,0,1,1,1,0,0,37.936065673828125,20.81077003479004
0,0,0,1,1,1,0,1,0,0,0,0,47.85183334350586,27.84952163696289
0,1,1,1,0,0,1,0,0,1,0,1,37.76714324951172,20.055572509765625
0,0,1,1,0,0,1,0,0,0,0,0,47.513031005859375,25.34712791442871
0,1,1,0,1,1,0,0,1,1,0,1,37.59278869628906,22.03427505493164
1,0,1,0,0,1,0,1,1,0,0,0,33.20391082763672,16.681785583496094
1,0,0,0,0,0,1,1,0,0,1,1,33.53143310546875,15.79078483581543
0,0,1,1,0,1,1,1,0,1,0,0,39.120704650878906,20.663972854614258
0,0,1,0,0,1,1,0,1,1,1,1,38.5577278137207,20.79037094116211
0,0,1,1,0,0,1,1,0,0,0,0,47.513031005859375,23.209081649780273
1,1,1,1,1,1,1,1,1,0,0,0,32.51482391357422,15.203054428100586
1,0,0,0,1,1,0,0,0,1,0,1,32.618526458740234,16.8270263671875
0,0,0,0,0,0,1,1,0,0,1,0,46.59050750732422,22.11835289001465
0,1,1,0,0,0,1,0,0,0,0,0,42.248470306396484,22.115604400634766
1,0,0,0,1,0,1,0,0,0,1,0,33.37458801269531,16.189449310302734
0,1,0,1,1,1,0,1,1,1,1,0,37.35726547241211,20.284461975097656
1,0,1,1,1,0,1,0,0,1,1,0,32.489784240722656,16.181482315063477
0,0,1,1,0,1,1,0,1,1,1,0,38.17894744873047,20.874767303466797
0,0,1,1,1,1,1,1,1,0,1,1,41.654014587402344,21.78508949279785
1,0,1,1,1,0,0,1,0,1,0,1,32.08329391479492,16.34101104736328
1,1,0,1,0,1,1,0,0,1,0,1,32.135475158691406,15.292739868164062
0,0,1,0,0,0,1,0,0,0,1,0,43.67346954345703,23.709964752197266
0,0,1,1,1,1,1,1,0,1,1,1,37.784767150878906,20.024633407592773
1,1,1,1,0,1,1,0,1,1,1,1,32.24531936645508,15.434440612792969
1,0,0,0,1,0,0,0,0,0,1,0,33.37458801269531,17.153858184814453
