/model.1/conv/Conv,/model.16/cv1/conv/Conv,/model.23/cv2.0/cv2.0.0/conv/Conv,/model.23/cv2.0/cv2.0.1/conv/Conv,/model.23/cv2.1/cv2.1.0/conv/Conv,/model.23/cv4.0/cv4.0.0/conv/Conv,/model.23/proto/cv1/conv/Conv,/model.23/proto/cv2/conv/Conv,/model.23/proto/upsample/ConvTranspose,/model.3/conv/Conv,/model.5/conv/Conv,/model.7/conv/Conv,output0,output1
0,0,0,0,0,1,1,0,0,1,0,1,721.3291625976562,69.21383666992188
1,0,1,0,1,1,0,0,0,0,0,1,1881.9898681640625,137.97134399414062
1,0,0,0,0,0,1,1,1,0,0,0,1857.5455322265625,151.57858276367188
1,0,1,1,1,1,1,1,1,1,1,0,1941.4326171875,148.90472412109375
1,0,0,0,1,0,0,0,1,1,0,0,1977.8720703125,145.2397918701172
0,0,1,0,1,1,0,1,0,0,0,1,352.83843994140625,35.593345642089844
0,1,1,1,1,0,1,1,1,0,1,0,630.9129638671875,81.8928451538086
0,1,0,0,0,0,0,0,1,0,1,1,548.4424438476562,54.38618087768555
1,1,0,0,1,0,0,0,1,1,0,1,2005.379150390625,150.54933166503906
0,0,1,0,0,1,1,1,1,1,1,0,884.4094848632812,85.05082702636719
1,1,0,0,0,1,1,0,1,0,1,0,1907.102783203125,155.87181091308594
0,1,1,0,0,1,0,1,1,1,0,0,895.0789184570312,77.798583984375
0,0,0,1,1,1,0,1,0,0,0,0,238.2228240966797,32.75117111206055
0,1,1,1,0,0,1,0,0,1,0,1,887.1031494140625,84.27100372314453
0,0,1,1,0,0,1,0,0,0,0,0,269.3100891113281,44.93830490112305
0,1,1,0,1,1,0,0,1,1,0,1,896.2449951171875,69.11764526367188
1,0,1,0,0,1,0,1,1,0,0,0,1877.605224609375,143.6211700439453
1,0,0,0,0,0,1,1,0,0,1,1,1852.2650146484375,151.4796600341797
0,0,1,1,0,1,1,1,0,1,0,0,818.0154418945312,78.26322937011719
0,0,1,0,0,1,1,0,1,1,1,1,894.7135620117188,78.27494812011719
0,0,1,1,0,0,1,1,0,0,0,0,269.3100891113281,56.8284797668457
1,1,1,1,1,1,1,1,1,0,0,0,1933.807861328125,158.87060546875
1,0,0,0,1,1,0,0,0,1,0,1,1978.664306640625,143.04408264160156
0,0,0,0,0,0,1,1,0,0,1,0,420.3697204589844,64.21266174316406
0,1,1,0,0,0,1,0,0,0,0,0,444.19097900390625,65.69120788574219
1,0,0,0,1,0,1,0,0,0,1,0,1888.8173828125,147.6399383544922
0,1,0,1,1,1,0,1,1,1,1,0,964.6544189453125,82.57050323486328
1,0,1,1,1,0,1,0,0,1,1,0,1941.4326171875,143.64981079101562
0,0,1,1,0,1,1,0,1,1,1,0,906.2926635742188,77.56715393066406
0,0,1,1,1,1,1,1,1,0,1,1,543.8935546875,66.89087677001953
1,0,1,1,1,0,0,1,0,1,0,1,2016.154296875,146.97341918945312
1,1,0,1,0,1,1,0,0,1,0,1,2011.3509521484375,158.02915954589844
0,0,1,0,0,0,1,0,0,0,1,0,468.2980041503906,53.89080810546875
0,0,1,1,1,1,1,1,0,1,1,1,935.3206176757812,84.12134552001953
1,1,1,1,0,1,1,0,1,1,1,1,1946.083251953125,152.1780548095703
1,0,0,0,1,0,0,0,0,0,1,0,1888.8173828125,139.64239501953125
1,1,0,1,1,1,1,1,0,0,0,0,1911.4271240234375,158.05047607421875
0,1,1,0,0,0,1,1,0,0,0,0,444.19097900390625,74.99422454833984
1,1,1,1,0,0,0,0,0,1,0,1,2034.3326416015625,149.1774444580078
0,1,0,1,0,1,0,0,0,1,0,1,840.9439697265625,66.28865814208984
0,1,0,1,0,1,1,1,1,1,0,0,865.8377075195312,93.57102966308594
1,0,1,1,1,1,0,1,1,1,1,0,1941.4326171875,141.21603393554688
0,1,1,1,1,0,0,0,0,1,0,0,935.01171875,66.8836441040039
1,0,0,1,0,1,1,1,0,1,1,0,1909.569091796875,147.9800567626953
1,0,1,0,0,0,1,0,0,1,1,1,1911.200439453125,143.379638671875
1,1,0,0,1,0,0,0,1,1,1,0,1921.5377197265625,143.43756103515625
0,1,0,1,0,0,0,1,0,1,0,0,865.8054809570312,75.57683563232422
1,0,0,0,0,0,0,0,0,1,0,0,1971.9615478515625,143.7641143798828
