block_0,block_1,block_2,block_3,block_4,block_5,block_6,block_7,block_8,block_9,block_10,block_11,map50,map50_95,map75
0,0,1,0,0,0,0,0,1,1,1,1,0.3603211066636299,0.2858878118319401,0.3074190884295219
0,0,0,1,1,0,0,1,1,0,0,1,0.36576467745756147,0.2856129195217535,0.3089158997146234
1,0,1,0,1,1,1,1,1,1,1,1,0.3386003106256673,0.2667881717205737,0.28785849521871526
1,0,1,0,1,0,0,1,0,0,0,0,0.3413307602105736,0.2714027753318131,0.2927503865386901
0,0,0,1,0,0,1,1,0,0,0,1,0.35925273700349986,0.2812698415737074,0.3033732296451514
0,0,0,1,0,0,1,1,0,0,1,1,0.3582350617291857,0.2788290096717975,0.3013232962538235
0,0,0,1,0,1,0,0,0,1,1,1,0.36535335187169776,0.2880318329722874,0.3153498892139307
0,0,1,0,0,0,1,0,0,1,0,1,0.3440478368828574,0.2752498948197423,0.2975116617716106
1,1,0,1,0,1,1,1,0,1,0,1,0.34128904398370374,0.2695073237886825,0.2925143015160303
0,1,1,0,1,0,1,1,1,1,0,0,0.3651482704314997,0.2863153972497373,0.308320433782551
1,1,1,0,0,0,1,1,1,1,1,0,0.34382703438510837,0.27158282051545224,0.2906517006752202
0,0,0,0,1,0,0,1,1,1,0,1,0.3652534508507901,0.2820501471287979,0.3054164411309884
1,0,0,0,0,0,1,0,1,1,0,0,0.3367219902478295,0.27240833217817895,0.2947971872590789
1,0,0,0,1,0,0,1,1,0,0,0,0.34024692068329293,0.26991078234695615,0.29098712833154416
1,1,0,0,1,1,0,0,1,0,1,1,0.37184860419028193,0.2896795842820233,0.3167468452010857
0,1,1,0,0,1,1,0,0,0,0,0,0.35681120318486087,0.28613849794256846,0.3105924342650727
0,0,1,1,0,1,0,1,0,0,0,0,0.3600137660459586,0.28355842919031937,0.3042637485147315
1,1,0,0,1,0,0,0,0,0,0,0,0.3551625850033673,0.28036209144613317,0.30116524555740637
1,1,1,0,1,0,1,1,0,0,0,1,0.34746908370636326,0.27526119848885533,0.2974513924293279
1,0,1,0,1,0,1,0,0,0,1,0,0.34750521396963485,0.27763469978976985,0.30109064048952383
1,1,0,1,0,0,0,0,0,0,1,0,0.3477596636312063,0.2798180921365404,0.3030459352151251
0,1,1,0,0,1,1,0,0,1,0,1,0.35551534586595673,0.28033948286854354,0.30894723751666886
1,1,0,1,1,1,0,0,0,1,0,0,0.3580573270350313,0.2854526396406062,0.3092290569331673
0,1,0,1,1,1,0,0,0,0,0,0,0.3658181189215178,0.29216092375257274,0.31700825463543264
1,0,0,1,0,0,0,0,0,0,0,1,0.3380885332727338,0.27070806479116494,0.29312328886557965
1,0,0,1,1,0,0,0,1,1,0,0,0.3386294829243244,0.27253866064079774,0.2956857247028624
0,0,1,0,0,0,0,1,0,0,0,1,0.3543006681293271,0.2787262300700214,0.30068272482379393
1,1,1,0,0,0,1,1,0,1,0,0,0.3406125925618983,0.2701549398375457,0.28790497372764723
0,1,1,1,1,1,0,0,0,0,0,0,0.35746070137634517,0.28491282228066306,0.31179623818252267
1,1,0,1,1,0,1,0,1,0,0,1,0.34627150833150216,0.27558863757910057,0.3027092544494753
1,0,0,1,1,0,0,1,0,1,0,0,0.34335194331660174,0.26971933034812945,0.2910076595817558
0,0,1,1,1,0,1,1,0,0,0,1,0.3642317287020798,0.2854350201792065,0.3109738960905968
0,1,0,0,0,1,1,0,0,1,0,1,0.3522771487065283,0.2786423845633575,0.30079162976849605
1,0,1,0,0,0,1,1,0,1,1,0,0.3338314426680887,0.2659298019145261,0.285513169243555
1,1,0,1,1,0,1,0,1,1,0,0,0.3432227727344474,0.27653521046741963,0.3011739111769736
0,0,1,0,1,1,0,0,1,1,1,0,0.3626192409091103,0.28825815045794123,0.3142808045255543
1,1,0,1,1,0,0,0,0,1,0,0,0.34122226200919,0.2730653187979962,0.29793026221550845
0,1,0,0,0,0,0,1,1,0,0,0,0.36084014536182946,0.2856416456439979,0.3060118306097914
1,1,1,1,1,0,0,0,0,0,1,1,0.35774598962709625,0.2825811432780806,0.3061528080042207
0,1,0,1,0,1,1,1,1,0,1,0,0.3667878149864226,0.28816331687440166,0.30857569705242266
0,1,1,0,1,1,1,1,0,1,1,1,0.36033539993629005,0.2806145320404015,0.30567336468398065
0,1,0,0,1,1,1,0,1,1,1,1,0.3595298978686834,0.2816251875394401,0.30910831198682526
0,0,1,1,0,0,1,0,0,1,0,0,0.3605523928754006,0.28832526757494986,0.311475665279827
1,1,1,1,0,0,0,0,1,0,1,1,0.34637507473743895,0.27960580215719044,0.3036086753382439
0,0,1,0,1,1,0,0,0,0,1,0,0.3623177466407872,0.28805791740388914,0.3158284083546758
0,0,0,1,0,1,0,0,0,0,0,0,0.36440433797061256,0.2909144237727759,0.31764653053620734
0,0,1,0,0,0,1,0,0,1,1,1,0.3496863529746675,0.2795098091406267,0.30031560459147855
0,1,0,1,0,1,1,0,0,1,1,0,0.3563139623657219,0.2830288190384194,0.30628811417166246
0,1,0,1,0,0,0,1,0,1,0,0,0.35574560337595623,0.28151021425587663,0.302279729812886
0,1,1,0,0,0,0,0,1,1,0,1,0.35398501416126926,0.2811443717392479,0.3056602060752292
