/model.1/conv/Conv,/model.13/cv1/conv/Conv,/model.16/cv1/conv/Conv,/model.16/cv2/conv/Conv,/model.17/conv/Conv,/model.2/cv2/conv/Conv,/model.20/conv/Conv,/model.23/cv2.0/cv2.0.0/conv/Conv,/model.3/conv/Conv,/model.4/cv2/conv/Conv,/model.5/conv/Conv,/model.7/conv/Conv,output0
1,1,0,1,0,0,1,1,1,1,0,0,29.244731903076172
1,0,0,0,0,1,0,1,0,0,1,0,30.1908016204834
1,0,1,1,1,0,1,1,1,0,1,1,29.064804077148438
1,1,0,1,1,1,1,1,0,0,1,1,29.063186645507812
1,1,0,0,1,1,1,1,1,1,1,1,30.043109893798828
1,1,0,0,1,1,0,0,0,0,0,1,31.066883087158203
1,1,1,1,0,1,1,1,1,0,0,0,29.145751953125
1,0,0,0,1,0,1,1,1,1,1,1,30.0942440032959
0,0,1,1,1,0,0,1,0,0,1,0,35.393043518066406
0,1,0,0,0,1,1,1,0,0,1,0,38.316200256347656
0,0,1,0,1,0,0,0,1,1,1,0,42.47686004638672
1,1,1,0,1,1,0,1,0,1,1,1,29.841964721679688
0,0,1,0,1,1,0,1,1,0,1,1,37.409385681152344
0,0,0,0,1,0,0,1,1,0,0,0,39.780426025390625
1,1,0,0,0,0,0,0,1,1,1,1,30.80512046813965
1,0,1,0,1,1,1,0,1,0,1,1,30.831579208374023
1,0,0,0,1,0,0,0,0,1,0,1,31.420650482177734
1,0,1,0,1,0,1,1,1,1,0,0,30.086416244506836
0,1,1,1,1,1,1,1,0,1,1,0,34.680599212646484
0,1,0,0,1,0,1,1,1,0,0,1,38.67658996582031
1,0,1,1,0,1,0,1,1,1,1,1,29.080480575561523
0,0,0,1,0,0,1,0,0,0,1,0,41.07246780395508
1,0,1,0,1,0,0,1,0,0,1,1,30.095169067382812
1,0,0,1,1,0,0,1,0,1,0,0,29.452404022216797
0,1,1,0,1,1,1,1,1,1,1,1,36.737388610839844
0,0,1,0,1,0,1,1,0,0,0,0,39.346683502197266
0,1,0,1,0,0,1,1,1,1,0,0,35.20821762084961
0,1,1,0,1,0,0,0,0,0,1,1,40.72069549560547
0,0,0,0,1,0,1,1,0,0,1,0,39.669708251953125
0,0,0,1,0,0,0,0,1,1,0,0,40.674808502197266
