/model.1/conv/Conv,/model.16/cv1/conv/Conv,/model.17/conv/Conv,/model.2/cv2/conv/Conv,/model.23/cv2.0/cv2.0.0/conv/Conv,/model.23/cv4.0/cv4.0.0/conv/Conv,/model.23/proto/cv1/conv/Conv,/model.23/proto/cv2/conv/Conv,/model.23/proto/upsample/ConvTranspose,/model.3/conv/Conv,/model.4/cv2/conv/Conv,/model.5/conv/Conv,output0,output1
1,0,1,1,0,1,0,0,1,1,0,1,29.410930633544922,10.172956466674805
1,0,0,1,1,1,0,1,0,1,0,1,29.157567977905273,10.220951080322266
0,1,1,0,1,0,0,0,1,1,0,1,38.58036422729492,22.5771484375
0,0,0,1,1,1,0,0,1,1,0,0,40.24110412597656,24.865938186645508
1,0,0,1,0,0,0,1,1,1,0,0,29.48494529724121,10.107562065124512
0,1,0,1,1,1,0,0,0,1,1,1,37.18839645385742,21.5815486907959
0,1,1,0,1,1,0,1,1,1,0,0,38.728919982910156,22.136180877685547
1,1,0,0,0,1,0,1,1,1,0,0,29.315847396850586,9.932389259338379
0,1,0,0,1,1,1,1,1,0,1,1,38.61921691894531,21.133411407470703
0,1,0,1,0,1,1,0,0,0,0,0,42.440528869628906,22.72445297241211
0,1,1,1,0,0,0,0,1,1,1,0,39.40428924560547,21.12750244140625
1,0,0,0,1,0,1,1,1,0,0,0,29.26248550415039,10.138456344604492
1,0,0,1,0,0,0,0,1,0,1,1,29.412921905517578,10.117460250854492
0,1,1,1,0,1,1,0,0,0,1,1,39.80305480957031,21.286121368408203
1,0,1,0,0,0,1,0,1,0,1,0,29.436954498291016,10.150525093078613
1,1,0,0,1,0,0,1,0,1,1,0,28.947399139404297,9.952237129211426
1,0,0,0,0,0,0,1,1,1,0,1,29.470382690429688,10.141541481018066
0,1,0,1,0,0,1,0,0,1,1,1,39.52973937988281,20.62433433532715
0,0,0,1,0,1,0,0,0,1,1,0,42.69497299194336,24.79891586303711
0,1,1,0,1,0,1,1,1,1,0,1,38.58036422729492,21.106632232666016
0,0,0,0,0,0,1,0,1,0,0,1,54.17372512817383,26.36788558959961
1,1,1,0,1,1,1,1,1,0,0,0,29.047903060913086,9.95512866973877
1,0,0,0,1,1,1,0,1,1,0,0,29.18709945678711,10.15739631652832
0,1,1,1,0,0,1,1,1,1,0,0,40.86392593383789,20.697551727294922
0,0,1,1,1,1,0,0,0,0,1,0,40.06105422973633,26.659076690673828
0,1,0,0,0,0,1,1,1,0,0,0,44.96214294433594,22.778499603271484
0,1,0,1,0,0,1,0,0,1,1,0,39.785301208496094,20.794055938720703
0,0,1,0,0,1,0,0,0,0,1,0,46.99173355102539,29.906301498413086
1,0,0,1,1,0,0,1,1,0,0,0,29.24456787109375,10.1531400680542
1,0,0,0,0,1,1,1,0,1,1,0,29.40569496154785,10.085575103759766
0,1,0,1,0,0,0,0,1,1,1,1,39.52973937988281,20.929248809814453
0,0,1,0,1,1,1,1,1,0,1,0,41.573116302490234,23.86499786376953
1,0,1,0,1,1,1,0,0,1,0,1,29.136653900146484,10.255171775817871
0,0,1,0,1,0,0,0,1,0,1,1,41.141746520996094,25.97611427307129
0,1,1,0,1,1,0,1,1,0,0,0,40.131858825683594,23.85117530822754
1,1,1,0,0,1,1,1,0,0,1,0,29.222179412841797,9.961125373840332
1,0,0,1,1,0,1,1,1,0,1,1,29.160715103149414,10.009986877441406
1,1,1,0,0,1,1,0,0,1,0,1,29.254858016967773,10.06417179107666
1,1,0,1,0,0,0,0,0,0,1,1,29.224727630615234,10.040152549743652
